MJD	Phase	U	U_err	g	g_err	r	r_err	i	i_err	z	z_err	y	y_err	Tel	Phase	J	J_err	H	H_err	K	K_err	Telescope
57983	0.467			17.41	0.02	17.56	0.04	17.48	0.03	17.59	0.03	17.46	0.01	various		17.88	0.03	18.26	0.15	18.62	0.11	4star/VISTA/GS
57983.23125	0.696							17.24	0.06	17.26	0.06	17.38	0.1	PS1								
57983.42	0.88			17.46	0.08	17.32	0.07	17.42	0.05					Skymapper								
57983.75833	1.218			18.05	0.12	17.89	0.03							1.5B/LCO		17.51	0.03	17.64	0.04	17.91	0.05	Sirius
57983.96875	1.427			18.66	0.04	17.99	0.01	17.85	0.05	17.72	0.03	17.32	0.03	GROND/DECam	1.427	17.58	0.07	17.64	0.08	17.87	0.12	GROND
57984.04811	1.505	20.25	0.29																			
57984.23125	1.686							17.87	0.06	17.78	0.07	17.58	0.11	PS1								
57984.37	1.82			19.28	0.17	18.34	0.11	18.32	0.14					Skymapper/LCO								
57984.76111	2.211			19.87	0.21	18.8	0.07	18.3	0.15	18.25	0.3			1.5B/LCO		17.69	0.04	17.52	0.04	17.61	0.04	Sirius
57984.96892	2.417	19.6		20.19	0.11	19.13	0.17	18.58	0.04	18.33	0.06	17.77	0.03	GROND	2.417	17.73	0.09	17.64	0.08	17.73	0.09	GROND
57985.23125	2.676							18.44	0.09	18.31	0.07	18.08	0.11	PS1								
57985.38	2.83			20.43	0.16	19.34	0.09	18.62	0.07					Skymapper/LCO								
57985.77639	3.216					19.64	0.13	18.8	0.2	18.42	0.34			1.5B/LCO		17.78	0.05	17.57	0.04	17.55	0.05	Sirius
57985.97433	3.412			21.13	0.16	19.81	0.02	19.03	0.01	18.74	0.02	18.05	0.03	GROND/DECam	3.413	17.95	0.07	17.72	0.07	17.69	0.08	GROND
57986.23556	3.671							17.8		18.1	0.3	17.7		PS1								
57986.71	4.14					20.3	0.31							LCO		18.13	0.12	17.77	0.04	17.57	0.07	SIRIUS
57986.97426	4.402			21.58	0.22	20.53	0.05	19.51	0.04	19.07	0.06	18.35	0.03	GROND	4.403	18.17	0.07	18.02	0.1	17.67	0.08	GROND
57987.98	5.4					20.79	0.24	19.55	0.18	19.17	0.11	18.83	0.18	DECcam								
57988.99	6.4			22.08	0.52	20.95	0.35					19.06	0.31	DECam	6.4	18.74	0.04			17.84	0.03	VISTA
57990	7.4			23.28	0.34	21.23	0.11	20.54	0.05	19.89	0.05	19.44	0.05	DECam	7.383	19.26	0.28	18.74	0.06	18.27	0.39	GROND
57991	8.4					21.95	0.18	20.72	0.06	20.4	0.06	20.06	0.07	DECam	8.358	19.64	0.11	19.26	0.26	18.43	0.15	GROND
57992	9.4					22.2	0.04	21.37	0.06	21.19	0.07	20.78	0.11	DECam/VIMOS	9.35	20.23	0.1	19.66	0.14	18.5	0.2	GROND
57993	10.4					22.45	0.07	22.38	0.1	22.06	0.13	21.67	0.21	DECam/VIMOS	10.386	21.02	0.22	20.17	0.34	18.51	0.15	GROND
57993.94	11.3			24.1	0.2	23	0.2	22.5	0.2					HST	11.322			20.05	0.2	19.3	0.35	NTT/GROND
57994.97	12.31																	20.57	0.19	19.4	0.14	NTT/GS
57995.97	13.21									22.3	0.28			VIMOS				21.01	0.14	19.67	0.2	GS/NTT
57996.99	14.32									23.34	0.37			FORS				21.63	0.36	20.02	0.13	GS/VISTA
57997.979	15.3																			20.17	0.08	GS/Magellan
57999.98	17.28																			20.77	0.13	HAWKI
58000.966	18.26																			20.76	0.35	NTT
58003.969	21.23																			21.46	0.08	HAWKI
58007.969	25.19																			22.06	0.22	HAWKI
