#	Observing Date = 2023-05-03
#	Observatory = LOAO
#	-18 deg sunset = 20:35
#	-18 deg sunrise = 04:04
#	Moon ra, dec = 12:19:48   +00:41:28
#	Moon phase = 0.9
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |      dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230428l | 22:06:58 | 52:20:24 |    02:20 |       07:46 |   13:11 |         112.04 |  0.003 |   58091 |
| MS230428l | 22:07:10 | 52:24:39 |    02:20 |       07:46 |   13:12 |         111.97 |  0.028 |   14682 |
| MS230428l | 22:08:07 | 52:22:37 |    02:21 |       07:47 |   13:12 |         111.98 |   0.02 |   58093 |
| MS230428l | 22:09:57 | 51:55:19 |    02:24 |       07:49 |   13:13 |         112.38 |  0.024 |   70734 |
| MS230428l | 22:10:40 | 50:44:56 |    02:26 |       07:50 |   13:12 |         113.51 |  0.018 |   70743 |
| MS230428l | 22:13:01 | 51:23:56 |    02:28 |       07:52 |   13:16 |          112.8 |  0.021 |   70744 |
| MS230428l | 22:13:08 | 50:30:57 |    02:29 |       07:52 |   13:14 |         113.66 |  0.014 |   70745 |
| MS230428l | 22:13:18 | 49:49:22 |    02:31 |       07:52 |   13:13 |         114.34 |  0.007 | 1040966 |
| MS230428l | 22:13:26 | 50:30:14 |    02:30 |       07:52 |   13:14 |         113.67 |  0.024 |   70749 |
| MS230428l | 22:19:00 | 51:55:55 |    02:33 |       07:58 |   13:23 |         112.09 |  0.027 |   81805 |
| MS230428l | 22:21:29 | 52:28:19 |    02:34 |       08:00 |   13:26 |         111.48 |  0.005 |   80781 |
| MS230428l | 22:25:28 | 51:22:15 |    02:40 |       08:04 |   13:28 |          112.4 |  0.004 |   38554 |
| MS230428l | 22:27:08 | 51:34:04 |    02:41 |       08:06 |   13:30 |         112.14 |  0.013 |   77600 |
| MS230428l | 22:28:12 | 50:45:57 |    02:44 |       08:07 |   13:30 |         112.87 |  0.005 | 1034965 |
| MS230428l | 22:28:12 | 50:45:57 |    02:44 |       08:07 |   13:30 |         112.87 |  0.004 |   84196 |
| MS230428l | 22:30:33 | 51:41:42 |    02:45 |       08:09 |   13:34 |         111.88 |  0.006 |   36392 |
| MS230428l | 22:30:53 | 52:48:36 |    02:43 |       08:10 |   13:36 |         110.79 |  0.049 |    9104 |
| MS230428l | 22:33:38 | 51:10:47 |    02:49 |       08:13 |   13:36 |         112.24 |   0.02 | 1029111 |
| MS230428l | 22:34:41 | 51:09:10 |    02:50 |       08:14 |   13:37 |         112.22 |  0.021 | 1040285 |
| MS230428l | 22:34:41 | 51:09:10 |    02:50 |       08:14 |   13:37 |         112.22 |   0.01 |   84197 |
| MS230428l | 22:34:59 | 52:06:14 |    02:48 |       08:14 |   13:39 |          111.3 |  0.053 |   36479 |
==============================================================================================================
