#	Observing Date = 2023-05-03
#	Observatory = LOAO
#	-18 deg sunset = 20:35
#	-18 deg sunrise = 04:04
#	Moon ra, dec = 12:20:06   +00:39:07
#	Moon phase = 0.9
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230428o | 05:28:23 |  76:39:50 |    08:47 |       15:07 |   21:37 |           68.7 |  0.101 | 1026523 |
| MS230428o | 05:43:23 |  74:56:02 |    09:09 |       15:22 |   21:45 |          67.09 |  0.104 | 1037965 |
| MS230428o | 05:43:23 |  74:56:02 |    09:09 |       15:22 |   21:45 |          67.09 |  0.102 |  101130 |
| MS230428o | 05:45:56 |  74:05:59 |    09:14 |       15:25 |   21:44 |          66.54 |  0.122 | 1028700 |
| MS230428o | 05:51:25 |  74:16:58 |    09:19 |       15:30 |   21:50 |          66.31 |  0.541 |   86995 |
| MS230428o | 05:54:05 |  76:39:50 |    09:13 |       15:33 |   22:03 |           67.4 |  0.001 |    4161 |
| MS230428o | 05:55:38 |  73:28:55 |    09:26 |       15:35 |   21:52 |          65.64 |  0.014 |   43589 |
| MS230428o | 05:57:06 |  76:30:32 |    09:16 |       15:36 |   22:05 |          67.17 |  0.008 | 1068761 |
| MS230428o | 05:57:06 |  76:30:32 |    09:16 |       15:36 |   22:05 |          67.17 |  0.007 |    1979 |
| MS230428o | 05:58:06 |  76:56:52 |    09:16 |       15:37 |   22:08 |          67.36 |    0.0 | 7512204 |
| MS230428o | 05:58:10 |  76:46:44 |    09:16 |       15:37 |   22:07 |          67.26 |    0.0 | 7512273 |
| MS230428o | 06:03:59 |  73:03:25 |    09:36 |       15:43 |   21:58 |          64.91 |  0.026 |   43599 |
| MS230428o | 06:05:03 |  75:22:04 |    09:29 |       15:44 |   22:08 |          66.14 |  0.011 | 1260828 |
| MS230428o | 06:05:49 |  74:52:44 |    09:32 |       15:45 |   22:07 |          65.82 |  0.011 |   43600 |
| MS230428o | 06:06:22 |  75:12:32 |    09:31 |       15:45 |   22:09 |          65.98 |  0.001 | 7625327 |
| MS230428o | 06:15:08 |  71:08:13 |    09:53 |       15:54 |   22:03 |          63.12 |  0.089 | 1027295 |
| MS230428o | 06:15:36 |  71:02:16 |    09:53 |       15:55 |   22:04 |          63.03 |    1.0 | 1024698 |
| MS230428o | 06:16:43 |  75:01:15 |    09:42 |       15:56 |   22:18 |          65.33 |    0.0 | 7625200 |
| MS230428o | 06:24:54 |  73:07:51 |    09:56 |       16:04 |   22:19 |          63.72 |  0.014 | 7814754 |
| MS230428o | 06:31:13 |  71:59:49 |    10:06 |       16:10 |   22:22 |          62.64 |  0.106 | 1040016 |
| MS230428o | 06:31:14 |  74:20:45 |    09:59 |       16:10 |   22:30 |          64.16 |    0.0 | 7958832 |
| MS230428o | 06:32:37 |  71:33:39 |    10:09 |       16:12 |   22:22 |          62.27 |  0.142 |     775 |
| MS230428o | 06:39:49 |  74:19:58 |    10:07 |       16:19 |   22:39 |          63.72 |  0.005 | 1029096 |
| MS230428o | 06:39:49 |  74:19:58 |    10:07 |       16:19 |   22:39 |          63.72 |  0.005 |   82960 |
| MS230428o | 06:41:33 |  74:10:44 |    10:10 |       16:20 |   22:40 |          63.53 |    0.0 | 7958724 |
