#	Observing Date = 2023-05-03
#	Observatory = LOAO
#	-18 deg sunset = 20:35
#	-18 deg sunrise = 04:04
#	Moon ra, dec = 12:19:53   +00:40:50
#	Moon phase = 0.9
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |      dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230429c | 09:19:34 | 55:35:02 |    13:30 |       18:58 |   00:32 |          40.49 |  0.219 | 1062043 |
| MS230429c | 09:27:30 | 55:21:28 |    13:38 |       19:06 |   00:40 |          40.22 |  0.503 | 1030044 |
| MS230429c | 09:27:41 | 55:55:01 |    13:37 |       19:07 |   00:41 |          40.77 |  0.284 | 1039159 |
| MS230429c | 09:32:50 | 59:44:41 |    13:35 |       19:12 |   00:53 |           44.6 |  0.426 | 1031261 |
| MS230429c | 09:34:07 | 60:42:36 |    13:35 |       19:13 |   00:57 |          45.57 |  0.203 | 1062015 |
| MS230429c | 09:35:51 | 61:21:10 |    13:35 |       19:15 |   01:00 |          46.22 |    1.0 | 1028903 |
| MS230429c | 09:36:31 | 59:23:52 |    13:40 |       19:15 |   00:56 |          44.27 |  0.266 | 1041244 |
| MS230429c | 09:56:29 | 68:02:05 |    13:41 |       19:35 |   01:35 |          53.06 |   0.25 | 1032478 |
| MS230429c | 09:58:17 | 68:06:10 |    13:43 |       19:37 |   01:37 |          53.15 |  0.181 | 1032831 |
| MS230429c | 10:00:00 | 65:21:28 |    13:51 |       19:39 |   01:32 |          50.46 |  0.186 | 1039913 |
| MS230429c | 10:08:42 | 67:05:59 |    13:55 |       19:48 |   01:45 |          52.33 |  0.181 |    2067 |
| MS230429c | 10:14:29 | 65:56:13 |    14:04 |       19:53 |   01:48 |          51.33 |  0.324 | 1031659 |
| MS230429c | 10:19:06 | 66:43:11 |    14:07 |       19:58 |   01:54 |           52.2 |   0.25 | 1031740 |
| MS230429c | 10:20:44 | 68:50:34 |    14:03 |       20:00 |   02:01 |          54.29 |  0.182 |   42222 |
| MS230429c | 10:23:58 | 68:22:58 |    14:07 |       20:03 |   02:03 |          53.93 |  0.216 | 1033246 |
| MS230429c | 10:25:12 | 67:17:49 |    14:11 |       20:04 |   02:02 |          52.92 |  0.441 | 1034820 |
| MS230429c | 10:25:18 | 70:10:22 |    14:04 |       20:04 |   02:09 |          55.68 |  0.163 | 1036600 |
| MS230429c | 10:25:28 | 70:45:00 |    14:03 |       20:04 |   02:11 |          56.24 |  0.274 | 1033757 |
| MS230429c | 10:25:34 | 70:04:33 |    14:05 |       20:04 |   02:09 |          55.59 |  0.316 | 1028094 |
| MS230429c | 10:26:00 | 70:17:24 |    14:05 |       20:05 |   02:10 |          55.81 |   0.34 | 1032077 |
| MS230429c | 10:27:11 | 71:25:04 |    14:03 |       20:06 |   02:15 |          56.92 |  0.261 | 1029576 |
| MS230429c | 10:27:33 | 66:57:25 |    14:14 |       20:06 |   02:03 |          52.66 |  0.269 | 1036866 |
| MS230429c | 10:29:41 | 68:50:49 |    14:12 |       20:09 |   02:10 |          54.52 |  0.199 |   95116 |
| MS230429c | 10:29:41 | 68:50:49 |    14:12 |       20:09 |   02:10 |          54.52 |  0.209 | 1035859 |
| MS230429c | 10:30:26 | 69:33:36 |    14:11 |       20:09 |   02:13 |          55.22 |  0.266 | 1037846 |
| MS230429c | 10:33:54 | 67:46:37 |    14:19 |       20:13 |   02:11 |          53.63 |  0.248 | 1034920 |
| MS230429c | 10:37:31 | 72:00:17 |    14:11 |       20:16 |   02:27 |          57.72 |   0.19 | 1035540 |
| MS230429c | 10:43:50 | 69:44:49 |    14:24 |       20:23 |   02:26 |          55.79 |  0.535 | 1026607 |
| MS230429c | 10:43:54 | 70:22:22 |    14:22 |       20:23 |   02:28 |          56.37 |  0.297 | 1033582 |
| MS230429c | 10:44:08 | 70:24:18 |    14:22 |       20:23 |   02:28 |          56.41 |  0.353 | 1028983 |
| MS230429c | 10:46:10 | 73:21:10 |    14:16 |       20:25 |   02:39 |          59.21 |  0.158 | 1025227 |
| MS230429c | 10:46:38 | 72:19:11 |    14:19 |       20:26 |   02:37 |          58.26 |  0.159 | 1034744 |
| MS230429c | 10:47:13 | 72:19:22 |    14:20 |       20:26 |   02:37 |          58.28 |  0.249 | 1028000 |
| MS230429c | 10:51:00 | 71:39:50 |    14:26 |       20:30 |   02:39 |          57.79 |  0.344 | 1029930 |
| MS230429c | 10:53:15 | 72:04:55 |    14:27 |       20:32 |   02:42 |          58.24 |  0.253 | 1038381 |
| MS230429c | 10:55:15 | 71:56:49 |    14:29 |       20:34 |   02:44 |          58.18 |  0.181 | 1041266 |
| MS230429c | 10:57:35 | 70:57:39 |    14:34 |       20:36 |   02:43 |          57.36 |  0.169 | 1037471 |
| MS230429c | 10:59:19 | 71:50:41 |    14:33 |       20:38 |   02:48 |          58.22 |  0.146 |    7535 |
| MS230429c | 11:08:08 | 72:02:59 |    14:41 |       20:47 |   02:57 |          58.71 |   0.19 | 1034835 |
| MS230429c | 11:11:34 | 71:31:22 |    14:46 |       20:50 |   02:59 |          58.37 |  0.139 | 1041319 |
| MS230429c | 11:12:58 | 72:52:44 |    14:44 |       20:52 |   03:04 |          59.61 |  0.364 | 1024956 |
