#	Observing Date = 2023-05-03
#	Observatory = KMTNet_SAAO
#	-18 deg sunset = 03:20
#	-18 deg sunrise = 13:46
#	Moon ra, dec = 12:19:26   +00:44:22
#	Moon phase = 0.9
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |     note |
| MS230430g | 05:31:10 | -59:50:16 |    17:48 |       23:25 |   05:06 |          90.52 |  0.217 |  1277472 |
| MS230430g | 05:58:45 | -59:07:33 |    18:17 |       23:53 |   05:32 |          87.12 |  0.214 |  1153326 |
| MS230430g | 06:41:17 | -60:09:46 |    18:57 |       00:35 |   06:17 |          83.47 |  0.172 |  1157146 |
| MS230430g | 06:41:38 | -60:15:43 |    18:57 |       00:36 |   06:17 |           83.5 |  0.344 |  1154349 |
| MS230430g | 06:59:05 | -59:07:37 |    19:17 |       00:53 |   06:32 |          81.13 |  0.168 |  1261844 |
| MS230430g | 07:03:24 | -60:15:21 |    19:19 |       00:57 |   06:39 |          81.58 |  0.693 |  1155358 |
| MS230430g | 07:03:28 | -60:16:44 |    19:19 |       00:57 |   06:39 |          81.59 |  0.169 |  1160166 |
| MS230430g | 07:57:37 | -58:59:27 |    20:16 |       01:52 |   07:31 |          76.48 |  0.114 |  1156059 |
| MS230430g | 08:31:38 | -59:47:02 |    20:48 |       02:26 |   08:06 |          75.29 |   0.02 |  1154897 |
| MS230430g | 09:56:17 | -50:13:58 |    22:30 |       03:50 |   09:14 |          63.66 |  0.024 |  1263685 |
| MS230430g | 10:21:10 | -46:00:46 |    23:03 |       04:15 |   09:31 |          59.65 |  0.008 |  1261368 |
| MS230430g | 10:41:56 | -40:15:35 |    23:33 |       04:36 |   09:42 |          54.62 |    0.0 |  1264898 |
| MS230430g | 11:06:26 | -36:38:24 |    00:04 |       05:00 |   10:00 |          52.55 |  0.003 |  1158997 |
| MS230430g | 11:06:26 | -36:38:24 |    00:04 |       05:00 |   10:00 |          52.55 |  0.001 |  1329682 |
| MS230430g | 11:06:26 | -36:41:49 |    00:04 |       05:00 |   10:00 |           52.6 |    0.0 |  1329681 |
| MS230430g | 11:06:31 | -37:39:10 |    00:03 |       05:00 |   10:02 |           53.5 |  0.007 |  1151214 |
| MS230430g | 11:07:07 | -37:10:22 |    00:04 |       05:01 |   10:01 |          53.09 |  0.011 |  1151355 |
| MS230430g | 11:07:10 | -37:24:46 |    00:04 |       05:01 |   10:02 |          53.32 |    0.0 | 11456170 |
==============================================================================================================
