#	Observing Date = 2023-05-03
#	Observatory = SAO
#	-18 deg sunset = 21:00
#	-18 deg sunrise = 03:57
#	Moon ra, dec = 12:19:26   +00:44:22
#	Moon phase = 0.9
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |      dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230430g | 13:41:19 | 36:56:06 |    18:23 |       23:32 |   04:43 |          42.61 |  0.213 | 1047026 |
| MS230430g | 13:48:34 | 37:06:46 |    18:30 |       23:39 |   04:51 |          43.76 |  0.352 | 1028607 |
| MS230430g | 14:30:27 | 49:13:11 |    18:41 |       00:21 |   06:03 |          57.52 |   0.23 | 1062166 |
| MS230430g | 14:32:27 | 49:54:18 |    18:41 |       00:23 |   06:07 |           58.2 |  0.393 |     397 |
| MS230430g | 14:43:24 | 52:36:54 |    18:44 |       00:34 |   06:26 |          61.24 |   0.28 | 1039805 |
| MS230430g | 14:45:45 | 51:34:51 |    18:49 |       00:36 |   06:25 |          60.89 |  0.354 | 1028029 |
| MS230430g | 14:50:46 | 54:24:39 |    18:46 |       00:41 |   06:38 |           63.2 |  0.392 | 1028830 |
| MS230430g | 14:57:11 | 52:20:45 |    18:58 |       00:48 |   06:38 |          62.77 |  0.188 | 1027949 |
| MS230430g | 14:58:19 | 53:14:13 |    18:57 |       00:49 |   06:42 |          63.41 |  0.329 | 1031369 |
| MS230430g | 15:04:39 | 53:49:22 |    19:02 |       00:55 |   06:50 |          64.52 |  0.457 |    1383 |
| MS230430g | 15:04:39 | 54:42:50 |    18:59 |       00:55 |   06:53 |          65.02 |  0.321 | 1032465 |
| MS230430g | 15:08:44 | 55:36:21 |    19:00 |       00:59 |   07:00 |          65.99 |  0.256 | 1035393 |
| MS230430g | 15:59:43 | 59:28:33 |    19:38 |       01:50 |   08:03 |          73.83 |  0.264 | 1064055 |
| MS230430g | 16:11:11 | 61:16:04 |    19:43 |       02:02 |   08:21 |           75.8 |  0.612 | 1026193 |
| MS230430g | 16:11:22 | 61:13:30 |    19:43 |       02:02 |   08:21 |          75.81 |  0.205 | 1036896 |
| MS230430g | 16:11:59 | 61:10:37 |    19:44 |       02:03 |   08:21 |          75.86 |  0.258 | 1037518 |
| MS230430g | 16:13:18 | 62:06:14 |    19:42 |       02:04 |   08:26 |          76.33 |  0.196 | 1039436 |
| MS230430g | 16:14:22 | 63:15:39 |    19:38 |       02:05 |   08:31 |          76.83 |  0.226 | 1030155 |
| MS230430g | 16:14:23 | 62:49:19 |    19:40 |       02:05 |   08:30 |          76.69 |  0.207 | 1036494 |
| MS230430g | 16:16:18 | 60:25:44 |    19:51 |       02:07 |   08:23 |          76.11 |  0.208 |    1831 |
| MS230430g | 16:18:06 | 61:39:39 |    19:49 |       02:09 |   08:29 |          76.71 |  0.246 | 1039229 |
| MS230430g | 16:27:48 | 62:41:27 |    19:54 |       02:18 |   08:43 |           78.1 |  0.193 |    1487 |
| MS230430g | 17:08:10 | 63:37:51 |    20:30 |       02:59 |   09:27 |          82.75 |    1.0 |  110697 |
| MS230430g | 17:42:52 | 66:28:33 |    20:52 |       03:33 |   10:14 |          86.59 |  0.164 |  110707 |
| MS230430g | 17:56:29 | 65:12:46 |    21:12 |       03:47 |   10:22 |          88.02 |  0.166 | 1033235 |
| MS230430g | 17:56:43 | 65:15:46 |    21:12 |       03:47 |   10:22 |          88.04 |  0.141 | 1038856 |
==============================================================================================================
