#	Observing Date = 2023-04-28
#	Observatory = LSGT
#	-18 deg sunset = 18:53
#	-18 deg sunrise = 05:10
#	Moon ra, dec = 8:28:15.42   24:31:11.1
#	Moon phase = 0.47
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230413s | 12:29:59 | -14:37:19 |    18:00 |       22:13 |   02:27 |             71 |  0.204 | 1155418 |
| MS230413s | 12:39:06 | -16:10:47 |    18:06 |       22:22 |   02:40 |             74 |  0.198 | 1157898 |
| MS230413s | 12:42:12 | -17:24:14 |    18:06 |       22:25 |   02:45 |             75 |  0.237 | 1153270 |
| MS230413s | 12:49:28 | -20:52:12 |    18:06 |       22:34 |   03:00 |             78 |  0.192 | 1163381 |
| MS230413s | 12:51:09 | -22:32:16 |    18:05 |       22:36 |   03:05 |             80 |  0.198 | 1156171 |
| MS230413s | 12:51:38 | -19:52:44 |    18:11 |       22:36 |   03:00 |             78 |  0.395 | 1153183 |
| MS230413s | 12:52:08 | -21:51:53 |    18:07 |       22:37 |   03:04 |             79 |  0.182 | 1151969 |
| MS230413s | 12:52:09 | -23:17:38 |    18:04 |       22:37 |   03:07 |             80 |  0.178 | 1159666 |
| MS230413s | 13:00:19 | -22:41:31 |    18:14 |       22:44 |   03:14 |             82 |  0.244 | 1153456 |
| MS230413s | 13:01:39 | -23:59:13 |    18:12 |       22:46 |   03:18 |             82 |  0.423 | 1351621 |
| MS230413s | 13:01:39 | -23:59:13 |    18:12 |       22:46 |   03:18 |             82 |  0.242 | 1153462 |
| MS230413s | 13:03:37 | -23:55:08 |    18:15 |       22:47 |   03:20 |             83 |  0.203 | 1164186 |
| MS230413s | 13:09:36 | -24:50:52 |    18:19 |       22:52 |   03:27 |             84 |  0.175 | 1161680 |
| MS230413s | 13:10:54 | -26:05:31 |    18:18 |       22:53 |   03:31 |             85 |  0.209 | 1158199 |
| MS230413s | 13:13:02 | -26:36:43 |    18:19 |       22:55 |   03:34 |             86 |  0.183 | 1162964 |
| MS230413s | 13:21:58 | -31:04:26 |    18:20 |       23:05 |   03:51 |             90 |  0.183 | 1218091 |
| MS230413s | 13:22:01 | -28:22:15 |    18:25 |       23:05 |   03:46 |             89 |  0.192 | 1160713 |
| MS230413s | 13:22:15 | -29:33:25 |    18:23 |       23:06 |   03:49 |             89 |  0.237 | 1153243 |
| MS230413s | 13:23:29 | -31:50:38 |    18:20 |       23:08 |   03:54 |             91 |   0.32 | 1154822 |
| MS230413s | 13:23:57 | -31:38:45 |    18:21 |       23:08 |   03:54 |             91 |  0.194 | 1157454 |
| MS230413s | 13:24:06 | -31:40:12 |    18:21 |       23:08 |   03:54 |             91 |  0.427 | 1153310 |
| MS230413s | 13:24:22 | -31:42:25 |    18:21 |       23:09 |   03:55 |             91 |  0.304 | 1156991 |
| MS230413s | 13:24:54 | -32:25:33 |    18:21 |       23:09 |   03:56 |             91 |  0.207 | 1158069 |
| MS230413s | 13:25:50 | -32:08:52 |    18:22 |       23:11 |   03:57 |             91 |  0.257 | 1158623 |
| MS230413s | 13:26:18 | -30:57:36 |    18:24 |       23:11 |   03:55 |             91 |   0.32 | 1157833 |
| MS230413s | 13:26:20 | -31:27:57 |    18:24 |       23:11 |   03:56 |             91 |  0.239 | 1176126 |
| MS230413s | 13:26:39 | -31:12:36 |    18:24 |       23:12 |   03:56 |             91 |  0.271 | 1163397 |
| MS230413s | 13:26:42 | -31:28:58 |    18:24 |       23:12 |   03:57 |             91 |  0.212 | 1164279 |
| MS230413s | 13:26:44 | -27:26:20 |    18:31 |       23:11 |   03:49 |             89 |  0.187 | 1152404 |
| MS230413s | 13:26:48 | -31:59:45 |    18:23 |       23:12 |   03:58 |             91 |  0.193 | 1163961 |
| MS230413s | 13:26:51 | -31:58:30 |    18:23 |       23:12 |   03:58 |             91 |  0.227 | 1341916 |
| MS230413s | 13:27:29 | -31:23:24 |    18:25 |       23:13 |   03:57 |             91 |  0.288 | 1154461 |
| MS230413s | 13:27:35 | -31:33:00 |    18:25 |       23:13 |   03:58 |             91 |  0.222 | 1174395 |
| MS230413s | 13:27:39 | -31:32:23 |    18:25 |       23:13 |   03:58 |             91 |  0.189 | 1166316 |
| MS230413s | 13:27:45 | -31:47:49 |    18:24 |       23:13 |   03:58 |             91 |  0.378 | 1156329 |
| MS230413s | 13:27:54 | -31:32:20 |    18:25 |       23:13 |   03:58 |             91 |  0.234 | 1156165 |
| MS230413s | 13:27:56 | -31:00:54 |    18:26 |       23:13 |   03:57 |             91 |  0.277 | 1161698 |
| MS230413s | 13:27:56 | -31:29:42 |    18:25 |       23:13 |   03:58 |             91 |  0.437 | 1151987 |
| MS230413s | 13:28:02 | -31:45:21 |    18:25 |       23:13 |   03:58 |             91 |  0.324 | 1160027 |
| MS230413s | 13:28:17 | -31:33:39 |    18:25 |       23:14 |   03:58 |             91 |  0.174 | 1175571 |
| MS230413s | 13:28:52 | -32:09:46 |    18:25 |       23:14 |   04:00 |             92 |   0.22 | 1163912 |
| MS230413s | 13:29:17 | -32:02:34 |    18:26 |       23:14 |   04:00 |             92 |  0.217 | 1167010 |
| MS230413s | 13:29:28 | -31:33:03 |    18:27 |       23:15 |   03:59 |             92 |  0.207 | 1157037 |
| MS230413s | 13:29:50 | -29:30:50 |    18:31 |       23:15 |   03:56 |             91 |   0.26 | 1261732 |
| MS230413s | 13:30:32 | -31:34:33 |    18:28 |       23:16 |   04:01 |             92 |  0.182 | 1158090 |
| MS230413s | 13:30:40 | -31:40:19 |    18:28 |       23:16 |   04:01 |             92 |  0.245 | 1165092 |
| MS230413s | 13:31:27 | -31:49:15 |    18:28 |       23:17 |   04:02 |             92 |  0.221 | 1156630 |
| MS230413s | 13:31:44 | -29:48:25 |    18:32 |       23:17 |   03:59 |             91 |   0.24 | 1157254 |
