#	Observing Date = 2023-04-23
#	Observatory = CBNUO
#	-18 deg sunset = 20:44
#	-18 deg sunrise = 04:08
#	Moon ra, dec = 3:59:39.74   23:9:53.38
#	Moon phase = 0.07
#	Moon seperation limit = 40
#	Altitude limit = 30
============================================================================================================
|     name |           ra |          dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | priority |
| UGC02855 | 03:48:20.736 | +70:07:58.30 |    07:14 |       14:18 |   21:22 |             57 |      1.0 |
|  NGC2336 | 07:27:04.068 | +80:10:41.02 |    08:45 |       17:58 |   03:11 |             57 |      1.0 |
|  NGC2775 | 09:10:20.100 | +07:02:17.23 |    15:50 |       19:37 |   23:26 |             29 |      1.0 |
|  NGC2776 | 09:12:14.508 | +44:57:17.53 |    14:09 |       19:37 |   01:12 |             31 |      1.0 |
|  NGC2782 | 09:14:05.112 | +40:06:49.21 |    14:24 |       19:36 |   01:01 |             29 |      1.0 |
|  NGC2993 | 09:45:48.288 | -14:22:05.92 |    18:11 |       20:14 |   22:16 |             50 |      1.0 |
|  NGC3169 | 10:14:14.892 | +03:27:58.86 |    17:07 |       20:42 |   00:17 |             45 |      1.0 |
|  NGC3147 | 10:16:53.712 | +73:24:02.70 |    13:20 |       20:45 |   04:11 |             56 |      1.0 |
|  NGC3183 | 10:21:49.008 | +74:10:36.70 |    13:18 |       20:50 |   04:23 |             56 |      1.0 |
|  NGC3294 | 10:36:16.236 | +37:19:28.63 |    15:53 |       20:58 |   02:16 |             43 |      1.0 |
|  NGC3344 | 10:43:31.116 | +24:55:19.74 |    16:31 |       21:10 |   01:51 |             45 |      1.0 |
|      M95 | 10:43:57.730 | +11:42:13.00 |    17:09 |       21:11 |   01:14 |             48 |      1.0 |
|  NGC3367 | 10:46:34.992 | +13:45:02.81 |    17:05 |       21:14 |   01:23 |             48 |      1.0 |
|  NGC3359 | 10:46:36.792 | +63:13:25.10 |    14:47 |       21:14 |   03:42 |             52 |      1.0 |
