#	Observing Date = 2023-05-19
#	Observatory = KMTNet_CTIO
#	-18 deg sunset = 01:19
#	-18 deg sunrise = 12:00
#	Moon ra, dec = 02:49:08   +17:20:36
#	Moon phase = 0.01
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|     name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight | note |
| S230518h | 07:10:00 | -38:00:00 |    17:13 |       22:07 |   03:04 |          82.43 |   3.84 | 6937 |
| S230518h | 07:30:00 | -86:00:00 |    15:57 |       22:27 |   04:47 |         105.95 |  3.394 | 6260 |
| S230518h | 07:34:44 | -52:00:00 |    17:17 |       22:31 |   03:49 |          92.72 |  4.308 | 7852 |
| S230518h | 07:36:55 | -56:00:00 |    17:14 |       22:33 |   03:57 |          94.69 |  3.756 | 8072 |
| S230518h | 07:42:23 | -54:00:00 |    17:22 |       22:39 |   03:59 |          94.59 |  3.796 | 7965 |
| S230518h | 07:43:43 | -72:00:00 |    16:57 |       22:40 |   04:26 |         101.56 |  3.337 | 5988 |
| S230518h | 07:45:13 | -70:00:00 |    17:01 |       22:42 |   04:24 |         100.97 |  2.545 | 5925 |
| S230518h | 07:46:28 | -68:00:00 |    17:06 |       22:43 |   04:23 |         100.36 |  4.018 | 5856 |
| S230518h | 08:13:42 | -80:00:00 |    17:11 |       23:10 |   05:10 |         105.55 |  1.894 | 6181 |
| S230518h | 10:30:00 | -86:00:00 |    19:00 |       01:27 |   07:51 |         109.01 |  0.298 | 6262 |
| S230518h | 12:00:00 | -88:00:00 |    19:56 |       02:57 |   10:01 |         108.82 |  0.704 | 6276 |
| S230518h | 16:48:00 | -88:00:00 |    01:02 |       07:45 |   14:59 |         109.08 |  0.931 | 6278 |
| S230518h | 19:12:00 | -88:00:00 |    03:27 |       10:09 |   17:19 |         108.16 |  1.999 | 6279 |
| S230518h | 19:30:00 | -86:00:00 |    04:10 |       10:27 |   16:58 |         108.66 |  0.973 | 6268 |
| S230518h | 19:38:10 | -84:00:00 |    04:28 |       10:35 |   16:52 |         109.08 |  3.519 | 6251 |
| S230518h | 20:25:31 | -76:00:00 |    05:33 |       11:22 |   17:15 |         108.24 |  0.965 | 6121 |
| S230518h | 20:29:16 | -78:00:00 |    05:33 |       11:26 |   17:23 |         107.98 |  0.826 | 6163 |
| S230518h | 20:34:17 | -80:00:00 |    05:34 |       11:31 |   17:33 |         107.72 |  1.382 | 6199 |
| S230518h | 20:41:22 | -82:00:00 |    05:37 |       11:38 |   17:46 |         107.44 |  2.187 | 6229 |
| S230518h | 20:43:38 | -84:00:00 |    05:33 |       11:40 |   17:56 |         107.39 |  5.168 | 6252 |
| S230518h | 21:00:00 | -86:00:00 |    05:38 |       11:57 |   18:26 |         107.11 |   1.73 | 6269 |
| S230518h | 21:15:25 | -80:00:00 |    06:15 |       12:12 |   18:13 |         105.94 |  0.942 | 6200 |
| S230518h | 21:31:02 | -82:00:00 |    06:26 |       12:28 |   18:34 |         105.73 |  0.763 | 6230 |
| S230518h | 21:49:05 | -84:00:00 |    06:37 |       12:46 |   19:00 |          105.7 |  2.494 | 6253 |
| S230518h | 21:56:07 |  -7:39:36 |    08:55 |       12:53 |   16:50 |          76.53 |  0.784 | 2121 |
| S230518h | 22:04:29 |  -5:44:42 |    09:09 |       13:01 |   16:54 |          73.93 |  0.587 | 2309 |
| S230518h | 22:12:45 |  -1:54:54 |    09:27 |       13:09 |   16:52 |           70.7 |  0.249 | 2685 |
| S230518h | 22:30:00 | -86:00:00 |    07:06 |       13:27 |   19:53 |          105.6 |  1.181 | 6270 |
==============================================================================================================
