#	Observing Date = 2023-05-03
#	Observatory = KMTNet_SAAO
#	-18 deg sunset = 03:20
#	-18 deg sunrise = 13:46
#	Moon ra, dec = 12:45:21   -02:41:40
#	Moon phase = 0.93
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230501j | 00:14:50 | -86:59:34 |    08:55 |       18:09 |   03:21 |          68.16 |  0.222 | 1209721 |
| MS230501j | 00:14:50 | -86:59:34 |    08:55 |       18:09 |   03:21 |          68.16 |  0.092 | 1261559 |
| MS230501j | 03:58:31 | -81:03:46 |    15:03 |       21:52 |   04:42 |          75.54 |  0.145 | 1151415 |
| MS230501j | 03:59:49 | -84:05:38 |    14:26 |       21:54 |   05:18 |          73.06 |  0.216 | 1152131 |
| MS230501j | 04:36:47 | -82:01:51 |    15:32 |       22:31 |   05:29 |           75.4 |  0.078 | 1262974 |
| MS230501j | 15:51:12 | -74:42:10 |    03:32 |       09:45 |   16:04 |          56.52 |  0.225 | 1153737 |
| MS230501j | 16:06:21 | -67:43:22 |    04:06 |       10:00 |   15:58 |          50.55 |  0.271 | 1151565 |
| MS230501j | 16:15:46 | -60:55:08 |    04:30 |       10:10 |   15:53 |          44.86 |  0.237 | 1261174 |
| MS230501j | 16:15:50 | -60:48:10 |    04:30 |       10:10 |   15:53 |          44.77 |  0.206 | 1261220 |
| MS230501j | 16:16:49 | -61:08:49 |    04:31 |       10:11 |   15:54 |          44.94 |  0.299 | 1327436 |
| MS230501j | 16:17:30 | -68:02:24 |    04:17 |       10:11 |   16:10 |          50.11 |  0.192 | 1152279 |
| MS230501j | 16:18:01 | -63:12:07 |    04:28 |       10:12 |   16:00 |          46.37 |  0.367 | 1151702 |
| MS230501j | 16:18:04 | -60:41:42 |    04:33 |       10:12 |   15:55 |          44.51 |  0.163 | 1261692 |
| MS230501j | 16:19:17 | -61:01:15 |    04:33 |       10:13 |   15:57 |          44.65 |  0.175 | 1152463 |
| MS230501j | 16:20:44 | -70:08:34 |    04:15 |       10:15 |   16:19 |           51.6 |   0.21 | 1151093 |
| MS230501j | 16:21:11 | -60:59:05 |    04:35 |       10:15 |   15:58 |          44.47 |   0.22 | 1261696 |
| MS230501j | 16:21:54 | -60:40:08 |    04:37 |       10:16 |   15:58 |          44.17 |  0.347 | 1151049 |
| MS230501j | 16:25:24 | -62:38:16 |    04:36 |       10:19 |   16:06 |           45.4 |  0.323 | 1330376 |
| MS230501j | 16:25:56 | -62:57:54 |    04:36 |       10:20 |   16:07 |          45.61 |  0.212 | 1154025 |
| MS230501j | 16:26:35 | -63:11:45 |    04:36 |       10:21 |   16:08 |          45.74 |  0.295 | 1330377 |
| MS230501j | 16:29:12 | -61:26:31 |    04:43 |       10:23 |   16:07 |          44.19 |  0.494 | 1327227 |
| MS230501j | 16:34:49 | -67:18:36 |    04:36 |       10:29 |   16:26 |          48.55 |  0.326 | 1330387 |
| MS230501j | 16:34:52 | -60:37:08 |    04:50 |       10:29 |   16:11 |          43.12 |  0.281 | 1151026 |
| MS230501j | 16:34:52 | -60:37:08 |    04:50 |       10:29 |   16:11 |          43.12 |  0.415 | 1330388 |
| MS230501j | 16:35:14 | -58:04:47 |    04:55 |       10:29 |   16:07 |           41.1 |  0.165 | 1150900 |
| MS230501j | 16:41:42 | -69:22:19 |    04:38 |       10:36 |   16:38 |          49.95 |  0.532 | 1151056 |
| MS230501j | 16:43:33 | -68:58:44 |    04:41 |       10:37 |   16:39 |          49.52 |  0.157 | 1153295 |
| MS230501j | 16:52:18 | -69:07:30 |    04:49 |       10:46 |   16:48 |          49.27 |  0.207 | 1151035 |
| MS230501j | 23:08:55 | -88:59:13 |    03:20 |       17:03 |   13:46 |          67.91 |  0.107 | 1202886 |
==============================================================================================================
