#	Observing Date = 2023-05-04
#	Observatory = KMTNet_SSO
#	-18 deg sunset = 18:48
#	-18 deg sunrise = 05:13
#	Moon ra, dec = 12:45:21   -02:41:40
#	Moon phase = 0.93
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230501j | 00:14:50 | -86:59:34 |    02:01 |       09:33 |   17:03 |         105.61 |  0.222 | 1209721 |
| MS230501j | 04:36:47 | -82:01:51 |    07:28 |       13:55 |   20:20 |         101.68 |  0.078 | 1262974 |
| MS230501j | 06:12:00 | -85:22:33 |    08:29 |       15:30 |   22:24 |         100.55 |  0.078 | 1186338 |
| MS230501j | 07:52:18 | -88:03:32 |    08:12 |       17:11 |   01:46 |         101.47 |   0.07 | 1279394 |
| MS230501j | 15:51:12 | -74:42:10 |    19:12 |       01:10 |   07:12 |         102.18 |  0.225 | 1153737 |
| MS230501j | 15:53:10 | -74:49:30 |    19:14 |       01:12 |   07:14 |         102.32 |  0.166 | 1152471 |
| MS230501j | 16:06:21 | -67:43:22 |    19:42 |       01:25 |   07:12 |         102.88 |  0.271 | 1151565 |
| MS230501j | 16:15:46 | -60:55:08 |    20:02 |       01:34 |   07:10 |         103.54 |  0.237 | 1261174 |
| MS230501j | 16:15:50 | -60:48:10 |    20:03 |       01:34 |   07:09 |         103.55 |  0.206 | 1261220 |
| MS230501j | 16:16:49 | -61:08:49 |    20:03 |       01:35 |   07:11 |         103.68 |  0.299 | 1327436 |
| MS230501j | 16:17:30 | -68:02:24 |    19:52 |       01:36 |   07:24 |         103.94 |  0.192 | 1152279 |
| MS230501j | 16:18:01 | -63:12:07 |    20:01 |       01:36 |   07:16 |          103.9 |  0.367 | 1151702 |
| MS230501j | 16:18:04 | -60:41:42 |    20:05 |       01:36 |   07:11 |         103.81 |  0.163 | 1261692 |
| MS230501j | 16:19:17 | -61:01:15 |    20:06 |       01:38 |   07:13 |         103.97 |  0.175 | 1152463 |
| MS230501j | 16:20:44 | -70:08:34 |    19:52 |       01:39 |   07:31 |         104.22 |   0.21 | 1151093 |
| MS230501j | 16:21:11 | -60:59:05 |    20:08 |       01:40 |   07:15 |          104.2 |   0.22 | 1261696 |
| MS230501j | 16:21:54 | -60:40:08 |    20:09 |       01:40 |   07:15 |         104.28 |  0.347 | 1151049 |
| MS230501j | 16:25:24 | -62:38:16 |    20:09 |       01:44 |   07:22 |         104.73 |  0.323 | 1330376 |
| MS230501j | 16:25:56 | -62:57:54 |    20:09 |       01:44 |   07:23 |         104.79 |  0.212 | 1154025 |
| MS230501j | 16:26:35 | -63:11:45 |    20:10 |       01:45 |   07:24 |         104.86 |  0.295 | 1330377 |
| MS230501j | 16:29:12 | -61:26:31 |    20:15 |       01:48 |   07:24 |         105.17 |  0.494 | 1327227 |
| MS230501j | 16:30:18 | -73:48:21 |    19:54 |       01:49 |   07:49 |         104.82 |  0.149 | 1155319 |
| MS230501j | 16:34:49 | -67:18:36 |    20:11 |       01:53 |   07:40 |          105.6 |  0.326 | 1330387 |
| MS230501j | 16:34:52 | -60:37:08 |    20:22 |       01:53 |   07:28 |         105.87 |  0.281 | 1151026 |
| MS230501j | 16:34:52 | -60:37:08 |    20:22 |       01:53 |   07:28 |         105.87 |  0.415 | 1330388 |
| MS230501j | 16:35:14 | -58:04:47 |    20:26 |       01:54 |   07:24 |         105.97 |  0.165 | 1150900 |
| MS230501j | 16:41:42 | -69:22:19 |    20:14 |       02:00 |   07:51 |         106.08 |  0.532 | 1151056 |
| MS230501j | 16:43:33 | -68:58:44 |    20:17 |       02:02 |   07:52 |         106.28 |  0.157 | 1153295 |
| MS230501j | 16:52:18 | -69:07:30 |    20:25 |       02:11 |   08:01 |         107.04 |  0.207 | 1151035 |
==============================================================================================================
