|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning | weight | note | scheduled |      ra |     dec |                                                mainTarget |                                                                        FixedTarget |                               id |                    rise |                    transit |                     set | maxalt | moonsep |
| MS181101ab | 13:12:33 | -23:08:34 |    B,R | 180,180 |  5,10 |     1,1 |  0.052 |      |     False |  198.14 | -23.143 |  Target[name=MS181101ab, ra[deg]=198.14, dec[deg]=-23.143 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (198.14, -23.143)> | 95f795f6143c46ca8177a7ec975a8ab6 |                         | 2023-04-26 14:07:03.839758 |                         |   29.0 |      95 |
| MS181101ab | 13:01:23 | -23:08:34 |    B,R | 180,180 |  5,10 |     1,1 |  0.026 |      |     False | 195.349 | -23.143 | Target[name=MS181101ab, ra[deg]=195.349, dec[deg]=-23.143 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (195.349, -23.143)> | e3dbe3c0a7944111aafe213d01cab6bd |                         | 2023-04-26 13:58:23.262940 |                         |   29.1 |      92 |
| MS181101ab | 12:59:32 | -18:00:00 |    B,R | 180,180 |  5,10 |     1,1 |  0.011 |      |     False | 194.887 |   -18.0 |   Target[name=MS181101ab, ra[deg]=194.887, dec[deg]=-18.0 |    <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.887, -18.)> | 1dbba926a8f34487a66a8f3262216ab8 | 2023-04-26T12:37:59.884 | 2023-04-26 13:57:12.237294 | 2023-04-26T15:40:05.562 |   34.2 |      89 |
| MS181101ab | 12:53:43 | -15:25:44 |    B,R | 180,180 |  5,10 |     1,1 |   0.01 |      |      True | 193.433 | -15.429 | Target[name=MS181101ab, ra[deg]=193.433, dec[deg]=-15.429 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.433, -15.429)> | 69bce298351d48cfa4b243cf5e634ddf | 2023-04-26T12:11:38.797 | 2023-04-26 13:53:11.081209 | 2023-04-26T15:59:34.157 |   36.8 |      87 |
| MS181101ab | 13:08:34 | -25:42:50 |    B,R | 180,180 |  5,10 |     1,1 |  0.008 |      |     False | 197.143 | -25.714 | Target[name=MS181101ab, ra[deg]=197.143, dec[deg]=-25.714 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.143, -25.714)> | ef9a3a949d8440f09e2a2688766e7239 |                         | 2023-04-26 14:03:47.767597 |                         |   26.5 |      95 |
| MS181101ab | 13:00:27 | -20:34:15 |    B,R | 180,180 |  5,10 |     1,1 |  0.006 |      |     False | 195.115 | -20.571 | Target[name=MS181101ab, ra[deg]=195.115, dec[deg]=-20.571 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (195.115, -20.571)> | cf75e37c08074082a5f9b149d0374333 | 2023-04-26T13:24:14.326 | 2023-04-26 13:57:46.759899 | 2023-04-26T15:12:41.450 |   31.6 |      91 |
| MS181101ab | 12:48:43 | -18:00:00 |    B,R | 180,180 |  5,10 |     1,1 |  0.003 |      |     False |  192.18 |   -18.0 |    Target[name=MS181101ab, ra[deg]=192.18, dec[deg]=-18.0 |     <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (192.18, -18.)> | c95a2143323a47bf9f1be3d46eb1d1a4 | 2023-04-26T12:27:55.550 | 2023-04-26 13:49:40.571911 | 2023-04-26T15:29:40.194 |   34.2 |      87 |
| MS181101ab | 13:20:00 | -25:42:50 |    B,R | 180,180 |  5,10 |     1,1 |  0.001 |      |     False |   200.0 | -25.714 |   Target[name=MS181101ab, ra[deg]=200.0, dec[deg]=-25.714 |    <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (200., -25.714)> | d0311f4717104d6f9d075976844597ba |                         | 2023-04-26 14:13:22.271743 |                         |   26.4 |      97 |
| MS181101ab | 13:11:27 | -20:34:15 |    B,R | 180,180 |  5,10 |     1,1 |  0.001 |      |     False | 197.863 | -20.571 | Target[name=MS181101ab, ra[deg]=197.863, dec[deg]=-20.571 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.863, -20.571)> | f926067ca71f49c18743f7012d1d4f0a | 2023-04-26T13:34:52.650 | 2023-04-26 14:06:13.465499 | 2023-04-26T15:23:27.566 |   31.6 |      93 |
| MS181101ab | 12:52:56 | -12:51:25 |    B,R | 180,180 |  5,10 |     1,1 |  0.001 |      |      True | 193.235 | -12.857 | Target[name=MS181101ab, ra[deg]=193.235, dec[deg]=-12.857 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.235, -12.857)> | 6aef75010a1a4439a929d728ce1fa7ae | 2023-04-26T11:51:22.204 | 2023-04-26 13:52:44.962502 | 2023-04-26T16:21:50.335 |   39.4 |      86 |
