#	Observing Date = 2023-05-03
#	Observatory = SAO
#	-18 deg sunset = 21:00
#	-18 deg sunrise = 03:57
#	Moon ra, dec = 12:19:53   +00:40:50
#	Moon phase = 0.9
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |      dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |     note |
| MS230429c | 09:07:57 | 49:36:10 |    13:19 |       18:59 |   00:43 |          59.64 |  0.584 |   102688 |
| MS230429c | 09:19:12 | 54:51:25 |    13:15 |       19:10 |   01:10 |          61.79 |  0.559 |  1030179 |
| MS230429c | 09:27:30 | 55:21:28 |    13:22 |       19:18 |   01:19 |           61.3 |  0.503 |  1030044 |
| MS230429c | 09:32:50 | 59:44:41 |    13:13 |       19:23 |   01:39 |          64.04 |  0.426 |  1031261 |
| MS230429c | 09:35:51 | 61:21:10 |    13:10 |       19:26 |   01:48 |          65.02 |    1.0 |  1028903 |
| MS230429c | 10:25:12 | 67:17:49 |    13:34 |       20:16 |   03:02 |          67.13 |  0.441 |  1034820 |
| MS230429c | 10:25:34 | 70:04:33 |    13:19 |       20:16 |   03:18 |          69.63 |  0.316 |  1028094 |
| MS230429c | 10:26:00 | 70:17:24 |    13:18 |       20:17 |   03:20 |          69.81 |   0.34 |  1032077 |
| MS230429c | 10:43:50 | 69:44:49 |    13:39 |       20:34 |   03:34 |          68.73 |  0.535 |  1026607 |
| MS230429c | 10:43:54 | 70:22:22 |    13:35 |       20:34 |   03:38 |          69.32 |  0.297 |  1033582 |
| MS230429c | 10:44:08 | 70:24:18 |    13:35 |       20:35 |   03:39 |          69.34 |  0.353 |  1028983 |
| MS230429c | 10:51:00 | 71:39:50 |    13:34 |       20:42 |   03:54 |          70.35 |  0.344 |  1029930 |
| MS230429c | 11:12:58 | 72:52:44 |    13:46 |       21:04 |   04:25 |          71.09 |  0.364 |  1024956 |
| MS230429c | 12:45:38 | 77:35:27 |    14:27 |       22:36 |   06:48 |          75.73 |  0.182 |  1034682 |
| MS230429c | 13:02:19 | 75:24:14 |    15:11 |       22:53 |   06:36 |          73.86 |  0.233 |  1026154 |
| MS230429c | 13:13:36 | 78:14:31 |    14:44 |       23:04 |   07:26 |          76.76 |  0.179 |  1036491 |
| MS230429c | 15:54:51 | 77:21:10 |    17:37 |       01:45 |   09:52 |          81.47 |  0.137 |    13421 |
| MS230429c | 16:44:36 | 75:40:22 |    18:48 |       02:35 |   10:20 |          83.45 |   0.12 |  1028749 |
| MS230429c | 17:38:52 | 74:50:16 |    19:51 |       03:29 |   11:06 |          86.68 |  0.165 |  1029449 |
| MS230429c | 17:49:34 | 72:13:04 |    20:24 |       03:40 |   10:54 |          87.32 |  0.152 |  1030644 |
| MS230429c | 17:49:46 | 72:01:15 |    20:26 |       03:40 |   10:53 |          87.33 |  0.178 |  1025420 |
| MS230429c | 17:51:04 | 74:47:45 |    20:03 |       03:42 |   11:18 |          87.48 |  0.115 |  1033039 |
| MS230429c | 18:25:27 | 68:00:21 |    21:27 |       04:16 |   11:04 |          90.57 |  0.111 |  1026755 |
| MS230429c | 21:14:43 | 21:08:49 |    02:35 |       07:05 |   11:36 |         133.75 |    0.0 | 19575843 |
==============================================================================================================
