#	Observing Date = 2023-05-03
#	Observatory = LOAO
#	-18 deg sunset = 20:35
#	-18 deg sunrise = 04:04
#	Moon ra, dec = 12:19:26   +00:44:22
#	Moon phase = 0.9
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |      dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230430g | 13:35:05 | 36:43:19 |    18:18 |       23:14 |   04:13 |          58.12 |   0.13 | 1066719 |
| MS230430g | 13:35:49 | 34:59:56 |    18:22 |       23:15 |   04:10 |          58.15 |   0.11 | 1029279 |
| MS230430g | 13:41:19 | 36:56:06 |    18:24 |       23:20 |   04:19 |          59.38 |  0.213 | 1047026 |
| MS230430g | 13:43:14 | 35:05:06 |    18:29 |       23:22 |   04:18 |          59.67 |  0.226 | 1034887 |
| MS230430g | 13:44:48 | 37:09:46 |    18:27 |       23:24 |   04:23 |          60.09 |  0.132 |    1886 |
| MS230430g | 13:45:54 | 36:33:57 |    18:29 |       23:25 |   04:23 |          60.27 |    0.1 | 1039227 |
| MS230430g | 13:48:34 | 37:06:46 |    18:30 |       23:27 |   04:27 |          60.84 |  0.352 | 1028607 |
| MS230430g | 13:48:36 | 37:39:18 |    18:29 |       23:28 |   04:28 |          60.87 |   0.09 | 1047985 |
| MS230430g | 13:53:01 | 41:20:38 |    18:27 |       23:32 |   04:39 |          61.95 |  0.094 |   10911 |
| MS230430g | 13:57:00 | 43:21:43 |    18:28 |       23:36 |   04:46 |          62.84 |  0.181 | 1032374 |
| MS230430g | 13:59:05 | 43:06:32 |    18:30 |       23:38 |   04:48 |           63.2 |  0.086 | 1067964 |
| MS230430g | 14:00:57 | 42:51:21 |    18:32 |       23:40 |   04:49 |          63.52 |  0.162 | 1051152 |
| MS230430g | 14:00:58 | 42:50:41 |    18:32 |       23:40 |   04:49 |          63.52 |  0.108 |   10946 |
| MS230430g | 14:01:11 | 43:35:02 |    18:31 |       23:40 |   04:51 |          63.61 |  0.095 | 1051153 |
| MS230430g | 14:03:27 | 45:14:05 |    18:31 |       23:42 |   04:56 |          64.13 |  0.088 | 1047445 |
| MS230430g | 14:06:00 | 45:46:37 |    18:32 |       23:45 |   05:00 |          64.62 |  0.104 | 1060152 |
| MS230430g | 14:07:13 | 45:53:24 |    18:33 |       23:46 |   05:01 |          64.84 |  0.112 | 1060163 |
| MS230430g | 14:08:14 | 44:03:10 |    18:38 |       23:47 |   04:59 |          64.91 |  0.148 | 1060018 |
| MS230430g | 14:11:55 | 46:14:16 |    18:37 |       23:51 |   05:06 |          65.67 |  0.089 | 1050095 |
| MS230430g | 14:12:24 | 44:27:39 |    18:41 |       23:51 |   05:04 |          65.67 |  0.089 | 1051189 |
| MS230430g | 14:12:26 | 45:41:23 |    18:39 |       23:51 |   05:06 |          65.73 |  0.092 |    7737 |
| MS230430g | 14:12:29 | 45:41:27 |    18:39 |       23:51 |   05:06 |          65.74 |  0.093 |    7736 |
| MS230430g | 14:16:56 | 45:38:34 |    18:43 |       23:56 |   05:10 |          66.52 |  0.122 | 1078662 |
| MS230430g | 14:17:18 | 46:41:52 |    18:42 |       23:56 |   05:12 |          66.62 |  0.088 | 1072047 |
| MS230430g | 14:19:25 | 45:51:50 |    18:45 |       23:58 |   05:13 |          66.96 |  0.087 | 1051218 |
| MS230430g | 14:23:58 | 47:14:09 |    18:48 |       00:03 |   05:20 |          67.78 |  0.121 | 1044681 |
| MS230430g | 14:24:43 | 47:01:58 |    18:49 |       00:04 |   05:20 |           67.9 |  0.144 | 1048026 |
