#	Observing Date = 2023-04-27
#	Observatory = LOAO
#	-18 deg sunset = 20:29
#	-18 deg sunrise = 04:11
#	Moon ra, dec = 8:14:4.82   25:16:17.71
#	Moon phase = 0.45
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230413s | 05:45:47 |  69:27:17 |    09:51 |       15:52 |   21:53 |             49 |    0.1 |   82353 |
| MS230413s | 06:15:36 |  71:02:16 |    10:17 |       16:22 |   22:27 |             49 |  0.103 | 1024698 |
| MS230413s | 07:33:04 |  65:04:44 |    11:49 |       17:39 |   23:29 |             40 |    0.4 | 1025015 |
| MS230413s | 07:33:47 |  65:26:45 |    11:48 |       17:40 |   23:31 |             41 |  0.142 | 1030971 |
| MS230413s | 12:04:23 |  -5:17:49 |    18:53 |       22:08 |   01:24 |             64 |  0.099 | 1155334 |
| MS230413s | 12:15:37 |  -7:47:20 |    19:14 |       22:20 |   01:26 |             67 |  0.122 | 1158636 |
| MS230413s | 12:16:47 |  -6:46:19 |    19:11 |       22:21 |   01:31 |             67 |  0.114 | 1156895 |
| MS230413s | 12:27:24 | -14:28:26 |    19:57 |       22:31 |   01:06 |             73 |  0.132 | 1162319 |
| MS230413s | 12:29:59 | -14:37:19 |    20:00 |       22:34 |   01:08 |             74 |  0.204 | 1155418 |
| MS230413s | 12:37:45 | -14:38:24 |    20:08 |       22:42 |   01:16 |             76 |  0.173 | 1161046 |
| MS230413s | 12:39:06 | -16:10:47 |    20:18 |       22:43 |   01:09 |             77 |  0.198 | 1157898 |
| MS230413s | 12:39:40 | -15:43:37 |    20:15 |       22:44 |   01:12 |             77 |  0.127 | 1182348 |
| MS230413s | 12:41:12 | -16:56:42 |    20:25 |       22:45 |   01:06 |             77 |  0.115 | 1182363 |
| MS230413s | 12:41:27 | -16:29:20 |    20:22 |       22:45 |   01:09 |             77 |  0.105 | 1182372 |
| MS230413s | 12:42:08 | -17:20:56 |    20:28 |       22:46 |   01:04 |             78 |  0.122 | 1159222 |
| MS230413s | 12:42:12 | -17:24:14 |    20:29 |       22:46 |   01:04 |             78 |  0.237 | 1153270 |
| MS230413s | 12:43:11 | -17:14:34 |    20:28 |       22:47 |   01:06 |             78 |    0.1 | 1196855 |
| MS230413s | 12:43:52 | -17:10:12 |    20:29 |       22:48 |   01:07 |             78 |  0.162 | 1157429 |
| MS230413s | 12:44:14 | -16:18:32 |    20:23 |       22:48 |   01:13 |             78 |   0.14 | 1156369 |
| MS230413s | 12:45:53 | -18:34:44 |    20:40 |       22:50 |   01:00 |             79 |  0.119 | 1163339 |
| MS230413s | 12:47:40 | -20:30:03 |    20:56 |       22:52 |   00:48 |             81 |  0.088 | 1195949 |
| MS230413s | 12:48:22 | -17:01:15 |    20:32 |       22:52 |   01:13 |             79 |   0.09 | 1165645 |
| MS230413s | 12:48:22 | -21:48:57 |    21:07 |       22:52 |   00:37 |             81 |  0.115 | 1288146 |
| MS230413s | 12:48:53 | -18:12:28 |    20:41 |       22:53 |   01:05 |             80 |  0.099 | 1196596 |
| MS230413s | 12:49:12 | -21:35:16 |    21:06 |       22:53 |   00:41 |             81 |  0.117 | 1161478 |
| MS230413s | 12:49:28 | -20:52:12 |    21:00 |       22:54 |   00:47 |             81 |  0.192 | 1163381 |
| MS230413s | 12:50:12 | -19:49:47 |    20:53 |       22:54 |   00:55 |             81 |  0.093 | 1203585 |
| MS230413s | 12:51:09 | -22:32:16 |    21:17 |       22:55 |   00:33 |             82 |  0.198 | 1156171 |
| MS230413s | 12:51:31 | -18:31:11 |    20:45 |       22:56 |   01:06 |             80 |  0.104 | 1167309 |
| MS230413s | 12:51:38 | -19:52:44 |    20:55 |       22:56 |   00:56 |             81 |  0.395 | 1153183 |
| MS230413s | 12:51:57 | -22:29:20 |    21:18 |       22:56 |   00:34 |             83 |  0.092 | 1272067 |
| MS230413s | 12:52:08 | -21:51:53 |    21:12 |       22:56 |   00:41 |             82 |  0.182 | 1151969 |
| MS230413s | 12:52:09 | -23:17:38 |    21:26 |       22:56 |   00:26 |             83 |  0.178 | 1159666 |
| MS230413s | 12:52:37 | -21:44:23 |    21:11 |       22:57 |   00:42 |             82 |  0.109 | 1184859 |
| MS230413s | 12:52:46 | -21:17:13 |    21:07 |       22:57 |   00:47 |             82 |  0.113 | 1204448 |
| MS230413s | 12:53:03 | -19:36:39 |    20:54 |       22:57 |   01:00 |             81 |  0.097 | 1184861 |
| MS230413s | 12:53:53 | -21:13:22 |    21:07 |       22:58 |   00:49 |             82 |   0.11 | 1204416 |
| MS230413s | 12:54:33 | -19:35:38 |    20:56 |       22:59 |   01:01 |             82 |  0.126 | 1163134 |
| MS230413s | 12:54:37 | -18:18:28 |    20:47 |       22:59 |   01:10 |             81 |   0.12 | 1154529 |
| MS230413s | 12:54:46 | -21:52:19 |    21:14 |       22:59 |   00:43 |             83 |  0.127 | 1166386 |
| MS230413s | 12:54:59 | -23:21:46 |    21:30 |       22:59 |   00:28 |             84 |  0.131 | 1296309 |
| MS230413s | 12:55:02 | -23:21:39 |    21:30 |       22:59 |   00:28 |             84 |  0.105 | 1163705 |
| MS230413s | 12:55:36 | -24:39:28 |    21:45 |       23:00 |   00:15 |             84 |  0.089 | 1166856 |
| MS230413s | 12:55:50 | -21:32:31 |    21:12 |       23:00 |   00:48 |             83 |  0.126 | 1166584 |
| MS230413s | 12:56:25 | -20:30:36 |    21:04 |       23:00 |   00:57 |             82 |  0.106 | 1277928 |
| MS230413s | 12:57:00 | -20:28:51 |    21:05 |       23:01 |   00:57 |             83 |  0.129 | 1152406 |
| MS230413s | 12:59:24 | -24:58:15 |    21:53 |       23:03 |   00:14 |             85 |  0.139 | 1162321 |
| MS230413s | 12:59:45 | -22:10:30 |    21:22 |       23:04 |   00:45 |             84 |   0.17 | 1151567 |
| MS230413s | 13:00:19 | -22:41:31 |    21:28 |       23:04 |   00:40 |             84 |  0.244 | 1153456 |
| MS230413s | 13:00:39 | -23:52:15 |    21:41 |       23:05 |   00:28 |             85 |  0.136 | 1165787 |
| MS230413s | 13:00:44 | -25:32:27 |    22:05 |       23:05 |   00:05 |             86 |  0.111 | 1163151 |
| MS230413s | 13:00:52 | -22:10:12 |    21:23 |       23:05 |   00:46 |             84 |  0.105 | 1307243 |
| MS230413s | 13:01:23 | -23:56:49 |    21:43 |       23:05 |   00:28 |             85 |  0.098 | 1195012 |
| MS230413s | 13:01:39 | -23:59:13 |    21:43 |       23:06 |   00:28 |             85 |  0.423 | 1351621 |
| MS230413s | 13:01:39 | -23:59:13 |    21:43 |       23:06 |   00:28 |             85 |  0.242 | 1153462 |
| MS230413s | 13:01:43 | -23:56:42 |    21:43 |       23:06 |   00:29 |             85 |  0.096 | 1195013 |
| MS230413s | 13:02:55 | -23:59:20 |    21:45 |       23:07 |   00:29 |             85 |  0.087 | 1195000 |
| MS230413s | 13:03:37 | -23:55:08 |    21:44 |       23:08 |   00:31 |             86 |  0.203 | 1164186 |
| MS230413s | 13:05:25 | -23:40:19 |    21:44 |       23:09 |   00:35 |             86 |  0.106 | 1195101 |
| MS230413s | 13:06:04 | -23:51:57 |    21:46 |       23:10 |   00:34 |             86 |  0.089 | 1195033 |
| MS230413s | 13:07:47 | -22:59:45 |    21:39 |       23:12 |   00:45 |             86 |  0.106 | 1159206 |
| MS230413s | 13:08:54 | -25:26:02 |    22:11 |       23:13 |   00:15 |             87 |  0.101 | 1184883 |
| MS230413s | 13:09:01 | -26:23:31 |    22:29 |       23:13 |   23:57 |             88 |  0.128 | 1184885 |
| MS230413s | 13:09:36 | -24:50:52 |    22:01 |       23:14 |   00:26 |             87 |  0.175 | 1161680 |
| MS230413s | 13:09:48 | -24:51:28 |    22:01 |       23:14 |   00:26 |             87 |  0.152 | 1166550 |
| MS230413s | 13:10:54 | -26:05:31 |    22:25 |       23:15 |   00:05 |             88 |  0.209 | 1158199 |
| MS230413s | 13:11:08 | -25:53:59 |    22:22 |       23:15 |   00:09 |             88 |  0.133 | 1159460 |
| MS230413s | 13:12:25 | -26:28:19 |    22:34 |       23:16 |   23:59 |             89 |  0.162 | 1342558 |
| MS230413s | 13:12:39 | -26:42:10 |    22:38 |       23:17 |   23:55 |             89 |  0.112 | 1194274 |
| MS230413s | 13:13:02 | -26:36:43 |    22:37 |       23:17 |   23:57 |             89 |  0.183 | 1162964 |
| MS230413s | 13:13:27 | -25:37:12 |    22:19 |       23:17 |   00:16 |             88 |  0.097 | 1194563 |
| MS230413s | 13:19:38 | -26:24:03 |    22:39 |       23:24 |   00:08 |             90 |  0.095 | 1203628 |
==============================================================================================================
