#	Observing Date = 2023-04-28
#	Observatory = KCT
#	-18 deg sunset = 19:32
#	-18 deg sunrise = 05:49
#	Moon ra, dec = 8:58:40.53   22:35:35.68
#	Moon phase = 0.53
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|      name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) | weight |    note |
| MS230413s | 12:49:28 | -20:52:12 |    18:44 |       23:11 |   03:36 |             71 |  0.192 | 1163381 |
| MS230413s | 12:51:09 | -22:32:16 |    18:43 |       23:13 |   03:41 |             73 |  0.198 | 1156171 |
| MS230413s | 12:51:38 | -19:52:44 |    18:48 |       23:13 |   03:37 |             71 |  0.395 | 1153183 |
| MS230413s | 12:52:08 | -21:51:53 |    18:45 |       23:14 |   03:41 |             73 |  0.182 | 1151969 |
| MS230413s | 12:52:09 | -23:17:38 |    18:42 |       23:14 |   03:44 |             73 |  0.178 | 1159666 |
| MS230413s | 12:59:24 | -24:58:15 |    18:46 |       23:21 |   03:54 |             76 |  0.139 | 1162321 |
| MS230413s | 12:59:45 | -22:10:30 |    18:52 |       23:21 |   03:49 |             74 |   0.17 | 1151567 |
| MS230413s | 13:00:19 | -22:41:31 |    18:52 |       23:22 |   03:51 |             75 |  0.244 | 1153456 |
| MS230413s | 13:00:39 | -23:52:15 |    18:50 |       23:22 |   03:53 |             75 |  0.136 | 1165787 |
| MS230413s | 13:01:39 | -23:59:13 |    18:50 |       23:23 |   03:54 |             76 |  0.242 | 1153462 |
| MS230413s | 13:01:39 | -23:59:13 |    18:50 |       23:23 |   03:54 |             76 |  0.423 | 1351621 |
| MS230413s | 13:03:37 | -23:55:08 |    18:53 |       23:25 |   03:56 |             76 |  0.203 | 1164186 |
| MS230413s | 13:09:36 | -24:50:52 |    18:57 |       23:30 |   04:04 |             78 |  0.175 | 1161680 |
| MS230413s | 13:09:48 | -24:51:28 |    18:57 |       23:30 |   04:04 |             78 |  0.152 | 1166550 |
| MS230413s | 13:10:54 | -26:05:31 |    18:56 |       23:30 |   04:07 |             78 |  0.209 | 1158199 |
| MS230413s | 13:11:08 | -25:53:59 |    18:57 |       23:31 |   04:07 |             78 |  0.133 | 1159460 |
| MS230413s | 13:12:25 | -26:28:19 |    18:57 |       23:32 |   04:10 |             79 |  0.162 | 1342558 |
| MS230413s | 13:13:02 | -26:36:43 |    18:57 |       23:32 |   04:10 |             79 |  0.183 | 1162964 |
| MS230413s | 13:21:45 | -31:03:00 |    18:58 |       23:41 |   04:27 |             83 |  0.138 | 1193084 |
| MS230413s | 13:21:58 | -31:04:26 |    18:58 |       23:41 |   04:27 |             83 |  0.183 | 1218091 |
| MS230413s | 13:22:01 | -28:22:15 |    19:03 |       23:41 |   04:23 |             82 |  0.192 | 1160713 |
| MS230413s | 13:22:06 | -31:46:15 |    18:57 |       23:41 |   04:28 |             84 |  0.142 | 1156402 |
| MS230413s | 13:22:15 | -29:33:25 |    19:01 |       23:41 |   04:25 |             82 |  0.237 | 1153243 |
| MS230413s | 13:22:50 | -27:39:21 |    19:05 |       23:43 |   04:22 |             82 |  0.134 | 1165464 |
| MS230413s | 13:23:05 | -29:54:43 |    19:02 |       23:43 |   04:26 |             83 |  0.142 | 1175557 |
| MS230413s | 13:23:29 | -31:50:38 |    18:59 |       23:43 |   04:30 |             84 |   0.32 | 1154822 |
| MS230413s | 13:23:57 | -31:38:45 |    19:00 |       23:44 |   04:30 |             84 |  0.194 | 1157454 |
| MS230413s | 13:24:06 | -31:40:12 |    19:00 |       23:45 |   04:30 |             84 |  0.427 | 1153310 |
| MS230413s | 13:24:18 | -31:10:01 |    19:01 |       23:45 |   04:30 |             84 |  0.145 | 1266933 |
| MS230413s | 13:24:22 | -31:42:25 |    19:00 |       23:45 |   04:30 |             84 |  0.304 | 1156991 |
| MS230413s | 13:24:54 | -32:25:33 |    18:59 |       23:46 |   04:32 |             84 |  0.207 | 1158069 |
| MS230413s | 13:25:50 | -32:08:52 |    19:01 |       23:47 |   04:33 |             84 |  0.257 | 1158623 |
| MS230413s | 13:26:18 | -30:57:36 |    19:03 |       23:48 |   04:31 |             84 |   0.32 | 1157833 |
| MS230413s | 13:26:20 | -31:27:57 |    19:02 |       23:48 |   04:32 |             84 |  0.239 | 1176126 |
| MS230413s | 13:26:28 | -30:44:45 |    19:04 |       23:48 |   04:31 |             84 |  0.165 | 1159518 |
| MS230413s | 13:26:31 | -30:13:22 |    19:04 |       23:48 |   04:30 |             84 |  0.165 | 1157608 |
| MS230413s | 13:26:39 | -31:12:36 |    19:03 |       23:48 |   04:32 |             84 |  0.271 | 1163397 |
| MS230413s | 13:26:42 | -31:28:58 |    19:03 |       23:48 |   04:32 |             84 |  0.212 | 1164279 |
| MS230413s | 13:26:44 | -27:26:20 |    19:09 |       23:48 |   04:26 |             82 |  0.187 | 1152404 |
| MS230413s | 13:26:48 | -31:59:45 |    19:02 |       23:48 |   04:33 |             85 |  0.193 | 1163961 |
| MS230413s | 13:26:51 | -31:58:30 |    19:02 |       23:48 |   04:33 |             85 |  0.227 | 1341916 |
| MS230413s | 13:27:09 | -31:38:20 |    19:03 |       23:49 |   04:33 |             84 |  0.149 | 1163233 |
| MS230413s | 13:27:09 | -31:38:20 |    19:03 |       23:49 |   04:33 |             84 |  0.144 | 1333192 |
| MS230413s | 13:27:29 | -31:23:24 |    19:03 |       23:49 |   04:33 |             84 |  0.288 | 1154461 |
| MS230413s | 13:27:35 | -31:33:00 |    19:03 |       23:49 |   04:33 |             84 |  0.222 | 1174395 |
| MS230413s | 13:27:39 | -31:32:23 |    19:03 |       23:50 |   04:33 |             84 |  0.189 | 1166316 |
| MS230413s | 13:27:45 | -31:47:49 |    19:03 |       23:50 |   04:34 |             85 |  0.378 | 1156329 |
| MS230413s | 13:27:46 | -31:27:14 |    19:04 |       23:50 |   04:33 |             84 |  0.161 | 1266046 |
| MS230413s | 13:27:50 | -31:34:08 |    19:04 |       23:50 |   04:34 |             85 |  0.151 | 1176140 |
| MS230413s | 13:27:54 | -31:32:20 |    19:04 |       23:50 |   04:34 |             85 |  0.234 | 1156165 |
| MS230413s | 13:27:56 | -31:29:42 |    19:04 |       23:50 |   04:34 |             84 |  0.437 | 1151987 |
| MS230413s | 13:27:56 | -31:00:54 |    19:05 |       23:50 |   04:33 |             84 |  0.277 | 1161698 |
| MS230413s | 13:28:02 | -31:31:44 |    19:04 |       23:50 |   04:34 |             85 |  0.136 | 1176142 |
| MS230413s | 13:28:02 | -31:45:21 |    19:03 |       23:50 |   04:34 |             85 |  0.324 | 1160027 |
| MS230413s | 13:28:17 | -31:33:39 |    19:04 |       23:50 |   04:34 |             85 |  0.174 | 1175571 |
| MS230413s | 13:28:35 | -31:53:20 |    19:04 |       23:51 |   04:35 |             85 |  0.142 | 1266979 |
| MS230413s | 13:28:38 | -31:20:49 |    19:05 |       23:51 |   04:34 |             85 |   0.14 | 1162288 |
| MS230413s | 13:28:44 | -31:14:13 |    19:05 |       23:51 |   04:34 |             85 |  0.134 | 1175583 |
| MS230413s | 13:28:52 | -32:09:46 |    19:04 |       23:51 |   04:36 |             85 |   0.22 | 1163912 |
| MS230413s | 13:29:17 | -32:02:34 |    19:04 |       23:51 |   04:36 |             85 |  0.217 | 1167010 |
| MS230413s | 13:29:20 | -31:32:23 |    19:05 |       23:52 |   04:35 |             85 |  0.137 | 1166317 |
| MS230413s | 13:29:24 | -32:40:58 |    19:03 |       23:51 |   04:37 |             85 |  0.172 | 1162195 |
| MS230413s | 13:29:28 | -31:33:03 |    19:05 |       23:52 |   04:35 |             85 |  0.207 | 1157037 |
| MS230413s | 13:29:28 | -30:08:06 |    19:08 |       23:52 |   04:33 |             84 |  0.141 | 1351639 |
| MS230413s | 13:29:47 | -31:36:25 |    19:05 |       23:52 |   04:36 |             85 |  0.149 | 1163924 |
| MS230413s | 13:29:50 | -29:30:50 |    19:09 |       23:52 |   04:32 |             84 |   0.26 | 1261732 |
| MS230413s | 13:29:52 | -29:30:46 |    19:09 |       23:52 |   04:32 |             84 |  0.162 | 1332673 |
| MS230413s | 13:29:53 | -29:29:31 |    19:09 |       23:52 |   04:32 |             84 |  0.133 | 1165355 |
| MS230413s | 13:29:53 | -31:46:08 |    19:05 |       23:52 |   04:36 |             85 |  0.149 | 1176162 |
| MS230413s | 13:30:21 | -31:55:44 |    19:05 |       23:53 |   04:37 |             85 |   0.14 | 1176169 |
| MS230413s | 13:30:32 | -31:34:33 |    19:06 |       23:53 |   04:36 |             85 |  0.182 | 1158090 |
| MS230413s | 13:30:36 | -32:18:36 |    19:05 |       23:53 |   04:38 |             85 |  0.141 | 1176173 |
| MS230413s | 13:30:40 | -31:40:19 |    19:06 |       23:53 |   04:37 |             85 |  0.245 | 1165092 |
| MS230413s | 13:31:27 | -31:49:15 |    19:07 |       23:54 |   04:38 |             85 |  0.221 | 1156630 |
| MS230413s | 13:31:31 | -32:56:13 |    19:05 |       23:53 |   04:40 |             86 |  0.165 | 1159329 |
| MS230413s | 13:31:33 | -31:48:46 |    19:07 |       23:54 |   04:38 |             85 |  0.148 | 1176189 |
| MS230413s | 13:31:37 | -31:33:07 |    19:07 |       23:54 |   04:37 |             85 |  0.169 | 1324092 |
| MS230413s | 13:31:44 | -29:48:25 |    19:10 |       23:54 |   04:35 |             84 |   0.24 | 1157254 |
| MS230413s | 13:31:46 | -32:53:38 |    19:05 |       23:53 |   04:40 |             86 |  0.271 | 1156690 |
| MS230413s | 13:32:03 | -31:46:44 |    19:07 |       23:54 |   04:38 |             85 |   0.34 | 1262125 |
| MS230413s | 13:32:08 | -33:00:35 |    19:05 |       23:54 |   04:40 |             86 |  0.165 | 1210180 |
| MS230413s | 13:32:14 | -32:49:58 |    19:06 |       23:54 |   04:40 |             86 |  0.172 | 1162322 |
| MS230413s | 13:32:15 | -33:22:40 |    19:05 |       23:54 |   04:41 |             86 |  0.146 | 1273601 |
| MS230413s | 13:32:25 | -33:08:09 |    19:06 |       23:54 |   04:41 |             86 |  0.167 | 1262454 |
| MS230413s | 13:32:33 | -33:09:18 |    19:06 |       23:54 |   04:41 |             86 |  0.144 | 1192387 |
| MS230413s | 13:33:01 | -33:06:03 |    19:06 |       23:55 |   04:41 |             86 |  0.184 | 1168077 |
| MS230413s | 13:33:34 | -31:40:19 |    19:09 |       23:56 |   04:40 |             86 |   0.23 | 1156248 |
| MS230413s | 13:33:52 | -33:00:50 |    19:07 |       23:55 |   04:42 |             86 |  0.245 | 1165862 |
| MS230413s | 13:34:12 | -32:58:37 |    19:08 |       23:56 |   04:42 |             86 |  0.141 | 1165041 |
| MS230413s | 13:34:39 | -33:27:28 |    19:07 |       23:56 |   04:44 |             87 |  0.448 | 1161337 |
| MS230413s | 13:34:55 | -35:05:56 |    19:05 |       23:55 |   04:46 |             88 |  0.182 | 1160586 |
| MS230413s | 13:35:03 | -31:39:18 |    19:11 |       23:57 |   04:41 |             86 |  0.193 | 1159305 |
| MS230413s | 13:35:42 | -31:53:56 |    19:11 |       23:58 |   04:42 |             86 |  0.147 | 1167011 |
| MS230413s | 13:37:38 | -31:46:37 |    19:13 |       23:59 |   04:44 |             86 |   0.15 | 1163754 |
| MS230413s | 13:37:53 | -33:48:36 |    19:10 |       23:58 |   04:47 |             87 |  0.362 | 1342657 |
| MS230413s | 13:38:59 | -32:36:03 |    19:13 |       00:00 |   04:47 |             87 |  0.224 | 1165850 |
| MS230413s | 13:39:38 | -35:36:32 |    19:09 |       23:58 |   04:52 |             89 |  0.214 | 1161637 |
| MS230413s | 13:39:42 | -35:35:13 |    19:09 |       23:58 |   04:52 |             89 |  0.178 | 1166833 |
| MS230413s | 13:40:38 | -33:59:27 |    19:12 |       00:00 |   04:50 |             88 |  0.179 | 1164296 |
| MS230413s | 13:41:40 | -34:25:58 |    19:13 |       00:00 |   04:52 |             88 |  0.164 | 1163174 |
| MS230413s | 13:43:33 | -38:10:33 |    19:09 |       00:00 |   05:00 |             91 |  0.152 | 1151943 |
| MS230413s | 13:43:54 | -35:46:15 |    19:13 |       00:01 |   04:56 |             90 |  0.263 | 1161559 |
| MS230413s | 13:44:48 | -36:04:30 |    19:13 |       00:01 |   04:58 |             90 |  0.171 | 1161061 |
| MS230413s | 13:44:54 | -37:35:31 |    19:11 |       00:01 |   05:00 |             91 |  0.158 | 1155733 |
| MS230413s | 13:45:13 | -33:40:44 |    19:17 |       00:03 |   04:54 |             89 |  0.153 | 1157200 |
| MS230413s | 13:45:17 | -38:10:22 |    19:10 |       00:01 |   05:02 |             91 |  0.136 | 1160911 |
| MS230413s | 13:46:01 | -33:44:38 |    19:18 |       00:03 |   04:55 |             89 |  0.157 | 1165811 |
| MS230413s | 13:46:24 | -37:58:15 |    19:12 |       00:02 |   05:03 |             91 |  0.219 | 1155772 |
| MS230413s | 13:46:27 | -36:05:49 |    19:15 |       00:02 |   05:00 |             90 |  0.351 | 1342241 |
| MS230413s | 13:46:47 | -37:54:28 |    19:12 |       00:02 |   05:03 |             91 |  0.171 | 1351658 |
| MS230413s | 13:47:44 | -34:58:08 |    19:18 |       00:04 |   04:59 |             90 |  0.181 | 1157417 |
| MS230413s | 13:47:52 | -32:27:43 |    19:22 |       00:05 |   04:55 |             89 |  0.152 | 1351660 |
| MS230413s | 13:48:13 | -33:22:55 |    19:21 |       00:05 |   04:57 |             89 |  0.178 | 1156440 |
| MS230413s | 13:49:25 | -33:36:43 |    19:22 |       00:05 |   04:59 |             89 |  0.148 | 1342562 |
| MS230413s | 13:51:25 | -38:13:01 |    19:17 |       00:05 |   05:08 |             92 |  0.234 | 1155202 |
| MS230413s | 13:52:25 | -34:56:02 |    19:23 |       00:07 |   05:04 |             91 |  0.293 | 1154843 |
| MS230413s | 13:54:15 | -37:46:33 |    19:20 |       00:07 |   05:10 |             92 |  0.403 | 1164159 |
| MS230413s | 13:58:36 | -39:50:13 |    19:21 |       00:10 |   05:18 |             94 |  0.138 | 1190823 |
| MS230413s | 14:02:18 | -38:50:20 |    19:26 |       00:14 |   05:20 |             94 |  0.217 | 1156053 |
