#	Observing Date = 2023-04-01
#	Observatory = LOAO
#	-18 deg sunset = 20:05
#	-18 deg sunrise = 04:48
#	Moon ra, dec = 09:05:13   +22:04:26
#	Moon phase = 0.76
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|       name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight |     note |
| MS181101ab | 12:48:59 | -14:23:57 |    22:00 |       00:34 |   03:11 |          65.84 |     0.0184573832005878 |  1261891 |
| MS181101ab | 12:50:11 | -13:29:23 |    21:56 |       00:35 |   03:17 |           65.6 |   0.000460651952841575 | 13042772 |
| MS181101ab | 12:50:37 | -14:28:57 |    22:02 |       00:36 |   03:12 |          66.22 |   0.005127070290439802 |  1172071 |
| MS181101ab | 12:51:18 | -14:34:24 |    22:03 |       00:36 |   03:12 |          66.41 |    0.11368327318682198 |  1261457 |
| MS181101ab | 12:52:25 | -15:31:01 |    22:09 |       00:37 |   03:08 |          67.15 |    0.05207461830980104 |  1324700 |
| MS181101ab | 12:52:51 | -16:01:14 |    22:12 |       00:38 |   03:06 |          67.51 | 0.00042182290847390204 | 13085189 |
| MS181101ab | 12:52:57 | -17:42:21 |    22:23 |       00:38 |   02:56 |          68.45 |  0.0003109766745865928 | 13090703 |
| MS181101ab | 12:54:03 | -15:50:06 |    22:13 |       00:39 |   03:08 |          67.65 | 0.00016900463601482983 | 13142330 |
| MS181101ab | 12:54:17 | -14:08:44 |    22:04 |       00:39 |   03:18 |          66.79 | 0.00034434553301389026 | 13136317 |
| MS181101ab | 12:54:49 | -16:03:07 |    22:14 |       00:40 |   03:08 |          67.92 |   0.007792064731079424 |  2395186 |
| MS181101ab | 12:55:19 | -14:56:59 |    22:09 |       00:40 |   03:14 |          67.43 |   0.006382552588011166 |  1263500 |
| MS181101ab | 12:55:20 | -17:05:47 |    22:21 |       00:40 |   03:02 |          68.59 |  0.0020043983332743323 |  2395181 |
| MS181101ab | 12:55:26 | -19:47:06 |    22:40 |       00:40 |   02:44 |          70.09 |  5.779150640438278e-06 | 13105857 |
| MS181101ab | 12:55:35 | -15:01:03 |    22:10 |       00:41 |   03:14 |          67.52 | 1.7967960860701564e-05 |  1331441 |
| MS181101ab | 12:55:59 | -19:16:08 |    22:36 |       00:41 |   02:48 |          69.91 |   0.009747169599623764 |  1264958 |
| MS181101ab | 12:57:01 | -17:23:25 |    22:25 |       00:42 |   03:02 |          69.09 |  0.0005552793894425762 |  1332009 |
| MS181101ab | 12:57:01 | -17:23:25 |    22:25 |       00:42 |   03:02 |          69.09 |  0.0005552793894425762 |  1688248 |
| MS181101ab | 12:57:02 | -19:31:07 |    22:39 |       00:42 |   02:47 |          70.25 |  0.0003035420770377204 | 13106319 |
| MS181101ab | 12:57:27 | -19:41:28 |    22:41 |       00:43 |   02:46 |          70.43 |     0.3666859663343284 |  1151111 |
| MS181101ab | 12:57:32 | -19:42:00 |    22:41 |       00:43 |   02:46 |          70.45 |   0.016121898765208628 |  1263502 |
| MS181101ab | 12:58:12 | -21:02:45 |    22:52 |       00:43 |   02:37 |          71.32 |   0.001003765318317216 |  2402886 |
| MS181101ab | 12:58:45 | -17:32:34 |    22:28 |       00:44 |   03:02 |          69.52 |  0.0025341747380551788 |  2400685 |
| MS181101ab | 13:01:59 | -22:47:19 |    23:12 |       00:47 |   02:25 |          73.02 |                    0.0 | 13217203 |
| MS181101ab | 13:04:15 | -22:52:52 |    23:15 |       00:49 |   02:26 |          73.51 |   0.003138851971024467 |  1325554 |
| MS181101ab | 13:05:04 | -22:23:02 |    23:11 |       00:50 |   02:32 |          73.39 |    0.09705845223690422 |  1159426 |
| MS181101ab | 13:05:23 | -23:31:21 |    23:23 |       00:50 |   02:20 |          74.08 |   0.002474800785021392 |  1326524 |
| MS181101ab | 13:05:24 | -23:30:09 |    23:22 |       00:50 |   02:21 |          74.07 | 0.00011889567863732272 |  1325556 |
| MS181101ab | 13:06:07 | -22:09:29 |    23:10 |       00:51 |   02:35 |          73.47 | 0.00047905511787126265 | 13320960 |
| MS181101ab | 13:06:24 | -24:09:50 |    23:31 |       00:51 |   02:14 |          74.62 |   0.012557208659711931 |  1171561 |
| MS181101ab | 13:06:39 | -22:27:20 |    23:13 |       00:52 |   02:33 |          73.74 |   0.051856931934272904 |  1171562 |
| MS181101ab | 13:06:52 | -22:50:30 |    23:17 |       00:52 |   02:29 |          73.99 |   0.000481571236193078 |  1329986 |
| MS181101ab | 13:06:56 | -23:55:01 |    23:29 |       00:52 |   02:18 |          74.59 |     0.2973514050553863 |  1151752 |
| MS181101ab | 13:07:05 | -23:40:37 |    23:26 |       00:52 |   02:21 |          74.49 |    0.47172028439399605 |  1151925 |
| MS181101ab | 13:07:07 | -24:06:40 |    23:31 |       00:52 |   02:15 |          74.73 | 5.3028395636308906e-05 |  1329987 |
| MS181101ab | 13:07:07 | -24:06:37 |    23:31 |       00:52 |   02:15 |          74.73 |  0.0011095713243883744 | 13280171 |
| MS181101ab | 13:07:30 | -23:10:13 |    23:21 |       00:53 |   02:26 |          74.29 |  0.0029202048122036876 |  1328590 |
| MS181101ab | 13:07:33 | -24:00:30 |    23:31 |       00:53 |   02:17 |          74.76 |     0.6085186466728523 |  1151235 |
| MS181101ab | 13:07:34 | -23:48:54 |    23:28 |       00:53 |   02:20 |          74.66 |   0.003541777686526772 |  2406489 |
| MS181101ab | 13:07:37 | -23:56:18 |    23:30 |       00:53 |   02:18 |          74.74 |   0.013474463261505866 |  1169640 |
| MS181101ab | 13:07:37 | -23:34:44 |    23:25 |       00:53 |   02:22 |          74.54 |    0.09336503240283517 |  1159936 |
| MS181101ab | 13:07:44 | -22:51:28 |    23:18 |       00:53 |   02:30 |          74.17 |   0.004357614588432127 |  1329989 |
