#	Observing Date = 2023-04-03
#	Observatory = CBNUO
#	-18 deg sunset = 20:20
#	-18 deg sunrise = 04:42
#	Moon ra, dec = 09:52:53   +18:04:29
#	Moon phase = 0.84
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|       name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                weight | note |
| MS181101ab | 12:42:37 | -13:38:10 |    22:17 |       00:27 |   02:40 |           52.5 |                   0.0 | 4453 |
| MS181101ab | 12:44:43 | -12:32:43 |    22:11 |       00:29 |   02:50 |          52.29 |                   0.0 | 4775 |
| MS181101ab | 12:45:16 | -15:49:05 |    22:36 |       00:30 |   02:26 |          54.32 |                   0.0 | 3815 |
| MS181101ab | 12:47:23 | -14:43:38 |    22:30 |       00:32 |   02:37 |          54.08 |    0.0184573832005878 | 4134 |
| MS181101ab | 12:51:35 | -13:38:10 |    22:26 |       00:36 |   02:49 |          54.28 |  0.000460651952841575 | 4455 |
| MS181101ab | 12:51:54 | -14:43:38 |    22:34 |       00:37 |   02:42 |          54.97 |   0.11915468901027566 | 4135 |
| MS181101ab | 12:54:20 | -15:49:05 |    22:45 |       00:39 |   02:35 |          56.08 |  0.060457510585369204 | 3817 |
| MS181101ab | 12:54:41 | -16:54:32 |    22:55 |       00:39 |   02:26 |          56.78 | 0.0031149571121594846 | 3500 |
| MS181101ab | 12:55:23 | -19:05:27 |    23:19 |       00:40 |   02:03 |          58.21 |  0.010050711676661484 | 2872 |
| MS181101ab | 12:55:44 | -20:10:54 |    23:35 |       00:40 |   01:48 |          58.94 |   0.38281364425017744 | 2561 |
| MS181101ab | 12:56:25 | -14:43:38 |    22:39 |       00:41 |   02:46 |          55.87 |  0.006744866081885758 | 4136 |
| MS181101ab | 12:58:52 | -15:49:05 |    22:50 |       00:44 |   02:40 |          56.97 |                   0.0 | 3818 |
| MS181101ab | 12:59:14 | -16:54:32 |    23:00 |       00:44 |   02:30 |          57.67 | 0.0011105587788851523 | 3501 |
| MS181101ab | 12:59:37 | -18:00:00 |    23:11 |       00:44 |   02:20 |          58.37 | 0.0025341747380551788 | 3186 |
| MS181101ab | 13:03:47 | -16:54:32 |    23:04 |       00:49 |   02:35 |          58.56 |                   0.0 | 3502 |
| MS181101ab | 13:04:12 | -18:00:00 |    23:16 |       00:49 |   02:24 |          59.26 |                   0.0 | 3187 |
| MS181101ab | 13:09:40 | -20:10:54 |    23:49 |       00:54 |   02:02 |          61.57 |                   0.0 | 2564 |
==============================================================================================================
