#	Observing Date = 2023-04-01
#	Observatory = LOAO
#	-18 deg sunset = 20:05
#	-18 deg sunrise = 04:48
#	Moon ra, dec = 09:05:13   +22:04:26
#	Moon phase = 0.76
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|       name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight |     note |
| MS181101ab | 12:52:25 | -15:31:01 |    22:09 |       00:37 |   03:08 |          67.15 |   0.038979535487766274 |  1324700 |
| MS181101ab | 12:52:51 | -16:01:14 |    22:12 |       00:38 |   03:06 |          67.51 |  0.0003293944858155218 | 13085189 |
| MS181101ab | 12:52:57 | -17:42:21 |    22:23 |       00:38 |   02:56 |          68.45 | 0.00031039641464128425 | 13090703 |
| MS181101ab | 12:54:03 | -15:50:06 |    22:13 |       00:39 |   03:08 |          67.65 | 0.00011726557617101027 | 13142330 |
| MS181101ab | 12:54:49 | -16:03:07 |    22:14 |       00:40 |   03:08 |          67.92 |   0.006417506501331182 |  2395186 |
| MS181101ab | 12:55:20 | -17:05:47 |    22:21 |       00:40 |   03:02 |          68.59 |  0.0018152872565387296 |  2395181 |
| MS181101ab | 12:55:26 | -19:47:06 |    22:40 |       00:40 |   02:44 |          70.09 | 1.3249003467235774e-05 | 13105857 |
| MS181101ab | 12:55:35 | -15:01:03 |    22:10 |       00:41 |   03:14 |          67.52 |                    0.0 |  1331441 |
| MS181101ab | 12:55:59 | -19:16:08 |    22:36 |       00:41 |   02:48 |          69.91 |   0.009851182715434698 |  1264958 |
| MS181101ab | 12:57:01 | -17:23:25 |    22:25 |       00:42 |   03:02 |          69.09 |  0.0004951368773813326 |  1688248 |
| MS181101ab | 12:57:01 | -17:23:25 |    22:25 |       00:42 |   03:02 |          69.09 |  0.0004951368773813326 |  1332009 |
| MS181101ab | 12:57:02 | -19:31:07 |    22:39 |       00:42 |   02:47 |          70.25 |  0.0003061025733205587 | 13106319 |
| MS181101ab | 12:57:27 | -19:41:28 |    22:41 |       00:43 |   02:46 |          70.43 |     0.3652184049765616 |  1151111 |
| MS181101ab | 12:57:32 | -19:42:00 |    22:41 |       00:43 |   02:46 |          70.45 |    0.01606098757092232 |  1263502 |
| MS181101ab | 12:58:12 | -21:02:45 |    22:52 |       00:43 |   02:37 |          71.32 |  0.0011423791598734567 |  2402886 |
| MS181101ab | 12:58:45 | -17:32:34 |    22:28 |       00:44 |   03:02 |          69.52 |   0.002227409838009425 |  2400685 |
| MS181101ab | 13:01:59 | -22:47:19 |    23:12 |       00:47 |   02:25 |          73.02 | 1.6677652885592557e-05 | 13217203 |
| MS181101ab | 13:04:15 | -22:52:52 |    23:15 |       00:49 |   02:26 |          73.51 |  0.0036257568307049132 |  1325554 |
| MS181101ab | 13:05:04 | -22:23:02 |    23:11 |       00:50 |   02:32 |          73.39 |    0.11089316283923159 |  1159426 |
| MS181101ab | 13:05:23 | -23:31:21 |    23:23 |       00:50 |   02:20 |          74.08 |  0.0029897596502441717 |  1326524 |
| MS181101ab | 13:05:24 | -23:30:09 |    23:22 |       00:50 |   02:21 |          74.07 | 0.00015657136907235014 |  1325556 |
| MS181101ab | 13:06:07 | -22:09:29 |    23:10 |       00:51 |   02:35 |          73.47 |  0.0005327096850315574 | 13320960 |
| MS181101ab | 13:06:24 | -24:09:50 |    23:31 |       00:51 |   02:14 |          74.62 |     0.0148769844713001 |  1171561 |
| MS181101ab | 13:06:39 | -22:27:20 |    23:13 |       00:52 |   02:33 |          73.74 |    0.05423491397890748 |  1171562 |
| MS181101ab | 13:06:52 | -22:50:30 |    23:17 |       00:52 |   02:29 |          73.99 |  0.0005043128007336781 |  1329986 |
| MS181101ab | 13:06:56 | -23:55:01 |    23:29 |       00:52 |   02:18 |          74.59 |    0.35199521667855904 |  1151752 |
| MS181101ab | 13:07:05 | -23:40:37 |    23:26 |       00:52 |   02:21 |          74.49 |      0.506760601091095 |  1151925 |
| MS181101ab | 13:07:07 | -24:06:40 |    23:31 |       00:52 |   02:15 |          74.73 |  7.332589238941225e-05 |  1329987 |
| MS181101ab | 13:07:07 | -24:06:37 |    23:31 |       00:52 |   02:15 |          74.73 |  0.0013015085755747327 | 13280171 |
| MS181101ab | 13:07:30 | -23:10:13 |    23:21 |       00:53 |   02:26 |          74.29 |  0.0030294770317283123 |  1328590 |
| MS181101ab | 13:07:33 | -24:00:30 |    23:31 |       00:53 |   02:17 |          74.76 |     0.7073866922923775 |  1151235 |
| MS181101ab | 13:07:34 | -23:48:54 |    23:28 |       00:53 |   02:20 |          74.66 |  0.0038123070463289195 |  2406489 |
| MS181101ab | 13:07:37 | -23:56:18 |    23:30 |       00:53 |   02:18 |          74.74 |   0.014482654346872974 |  1169640 |
| MS181101ab | 13:07:37 | -23:34:44 |    23:25 |       00:53 |   02:22 |          74.54 |    0.10030638372410192 |  1159936 |
| MS181101ab | 13:07:44 | -22:51:28 |    23:18 |       00:53 |   02:30 |          74.17 |   0.004517890784380697 |  1329989 |
| MS181101ab | 13:08:04 | -23:47:48 |    23:29 |       00:53 |   02:20 |          74.74 |     0.4426051471447943 |  1261378 |
| MS181101ab | 13:08:15 | -21:00:05 |    23:02 |       00:53 |   02:47 |          73.27 |  5.956541453397534e-05 |  1329991 |
| MS181101ab | 13:08:32 | -23:20:50 |    23:24 |       00:54 |   02:25 |          74.59 |   0.013397003858774794 |  2409443 |
| MS181101ab | 13:08:42 | -23:46:32 |    23:29 |       00:54 |   02:21 |          74.85 |    0.02539154144938919 |  1326516 |
| MS181101ab | 13:09:16 | -24:23:06 |    23:37 |       00:54 |   02:14 |           75.3 |  0.0038245465439859204 | 13280775 |
| MS181101ab | 13:09:17 | -24:22:55 |    23:37 |       00:54 |   02:14 |           75.3 |   0.002884671520414167 |  1331138 |
| MS181101ab | 13:09:18 | -24:23:04 |    23:37 |       00:54 |   02:14 |           75.3 | 0.00021931941935005213 |  1329996 |
| MS181101ab | 13:09:47 | -23:23:01 |    23:26 |       00:55 |   02:26 |          74.85 |                    1.0 |  1151336 |
| MS181101ab | 13:09:51 | -24:14:21 |    23:36 |       00:55 |   02:17 |          75.33 |   0.024391875185837558 |  1263265 |
| MS181101ab | 13:10:35 | -21:44:53 |    23:11 |       00:56 |   02:43 |          74.13 |   0.004156345504662349 |  1264970 |
| MS181101ab | 13:10:45 | -23:51:56 |    23:32 |       00:56 |   02:22 |           75.3 |   0.026968454951364036 |  1330001 |
| MS181101ab | 13:10:45 | -23:51:56 |    23:32 |       00:56 |   02:22 |           75.3 |    0.04128281782195013 |  1164528 |
| MS181101ab | 13:13:32 | -23:51:41 |    23:35 |       00:59 |   02:25 |          75.83 | 1.8944068572785542e-07 | 13384365 |
==============================================================================================================
