#	Observing Date = 2023-04-10
#	Observatory = KMTNet_SAAO
#	-18 deg sunset = 03:44
#	-18 deg sunrise = 13:32
#	Moon ra, dec = 16:13:54   -24:03:24
#	Moon phase = 0.85
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|       name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight | note |
| MS181101ab | 12:43:16 | -13:24:15 |    03:58 |       08:08 |   12:20 |           50.7 |                    0.0 | 1494 |
| MS181101ab | 12:47:28 | -15:19:08 |    03:58 |       08:12 |   12:29 |          49.11 |                    0.0 | 1312 |
| MS181101ab | 12:48:00 | -17:14:02 |    03:54 |       08:13 |   12:33 |           48.4 |                    0.0 | 1131 |
| MS181101ab | 12:48:32 | -19:08:56 |    03:51 |       08:13 |   12:38 |          47.73 |                    0.0 |  952 |
| MS181101ab | 12:51:08 | -13:24:15 |    04:06 |       08:16 |   12:28 |          48.91 |                    0.0 | 1495 |
| MS181101ab | 12:55:23 | -15:19:08 |    04:06 |       08:20 |   12:36 |           47.3 |    0.04584370205108399 | 1313 |
| MS181101ab | 12:56:00 | -17:14:02 |    04:02 |       08:21 |   12:41 |          46.57 |   0.005343367263952104 | 1132 |
| MS181101ab | 12:56:37 | -19:08:56 |    03:59 |       08:21 |   12:46 |          45.89 |    0.39144992683970636 |  953 |
| MS181101ab | 12:57:16 | -21:03:49 |    03:56 |       08:22 |   12:51 |          45.27 |  0.0011423791598734567 |  776 |
| MS181101ab | 12:57:55 | -22:58:43 |    03:52 |       08:23 |   12:55 |           44.7 | 1.6677652885592557e-05 |  601 |
| MS181101ab | 13:04:00 | -17:14:02 |    04:10 |       08:29 |   12:49 |          44.74 |                    0.0 | 1133 |
| MS181101ab | 13:04:43 | -19:08:56 |    04:07 |       08:29 |   12:54 |          44.05 |                    0.0 |  954 |
| MS181101ab | 13:05:27 | -21:03:49 |    04:04 |       08:30 |   12:59 |          43.41 |  5.956541453397534e-05 |  777 |
| MS181101ab | 13:06:12 | -22:58:43 |    04:00 |       08:31 |   13:04 |          42.84 |      2.639252087962836 |  602 |
| MS181101ab | 13:06:58 | -24:53:37 |    03:57 |       08:32 |   13:08 |          42.33 |     1.1214367949266613 |  429 |
| MS181101ab | 13:12:25 | -26:48:30 |    03:59 |       08:37 |   13:18 |          40.85 |    0.04673906423820728 |  259 |
| MS181101ab | 13:13:38 | -21:03:49 |    04:12 |       08:38 |   13:07 |          41.55 |   0.004156345504662349 |  778 |
| MS181101ab | 13:14:28 | -22:58:43 |    04:09 |       08:39 |   13:12 |          40.97 |    0.06825146221399989 |  603 |
| MS181101ab | 13:15:20 | -24:53:37 |    04:06 |       08:40 |   13:17 |          40.45 |                    0.0 |  430 |
==============================================================================================================
