#	Observing Date = 2023-04-12
#	Observatory = KMTNet_CTIO
#	-18 deg sunset = 01:48
#	-18 deg sunrise = 11:40
#	Moon ra, dec = 18:15:26   -27:56:37
#	Moon phase = 0.66
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|       name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight | note |
| MS181101ab | 12:43:16 | -13:24:15 |    01:56 |       06:06 |   10:18 |          77.71 |                    0.0 | 1494 |
| MS181101ab | 12:47:28 | -15:19:08 |    01:56 |       06:10 |   10:26 |          75.96 |                    0.0 | 1312 |
| MS181101ab | 12:48:00 | -17:14:02 |    01:53 |       06:10 |   10:31 |          75.03 |                    0.0 | 1131 |
| MS181101ab | 12:48:32 | -19:08:56 |    01:49 |       06:11 |   10:35 |          74.11 |                    0.0 |  952 |
| MS181101ab | 12:51:08 | -13:24:15 |    02:04 |       06:14 |   10:26 |           76.0 |                    0.0 | 1495 |
| MS181101ab | 12:55:23 | -15:19:08 |    02:04 |       06:18 |   10:34 |          74.24 |    0.04584370205108399 | 1313 |
| MS181101ab | 12:56:00 | -17:14:02 |    02:01 |       06:18 |   10:39 |           73.3 |   0.005343367263952104 | 1132 |
| MS181101ab | 12:56:37 | -19:08:56 |    01:58 |       06:19 |   10:43 |          72.37 |    0.39144992683970636 |  953 |
| MS181101ab | 12:57:16 | -21:03:49 |    01:54 |       06:20 |   10:47 |          71.45 |  0.0011423791598734567 |  776 |
| MS181101ab | 12:57:55 | -22:58:43 |    01:52 |       06:20 |   10:52 |          70.56 | 1.6677652885592557e-05 |  601 |
| MS181101ab | 13:04:00 | -17:14:02 |    02:09 |       06:26 |   10:47 |          71.56 |                    0.0 | 1133 |
| MS181101ab | 13:04:43 | -19:08:56 |    02:06 |       06:27 |   10:51 |          70.62 |                    0.0 |  954 |
| MS181101ab | 13:05:27 | -21:03:49 |    02:03 |       06:28 |   10:56 |           69.7 |  5.956541453397534e-05 |  777 |
| MS181101ab | 13:06:12 | -22:58:43 |    02:00 |       06:29 |   11:00 |           68.8 |      2.639252087962836 |  602 |
| MS181101ab | 13:06:58 | -24:53:37 |    01:57 |       06:29 |   11:04 |          67.92 |     1.1214367949266613 |  429 |
| MS181101ab | 13:12:25 | -26:48:30 |    01:59 |       06:35 |   11:13 |          66.08 |    0.04673906423820728 |  259 |
| MS181101ab | 13:13:38 | -21:03:49 |    02:11 |       06:36 |   11:04 |          67.94 |   0.004156345504662349 |  778 |
| MS181101ab | 13:14:28 | -22:58:43 |    02:08 |       06:37 |   11:08 |          67.03 |    0.06825146221399989 |  603 |
| MS181101ab | 13:15:20 | -24:53:37 |    02:05 |       06:38 |   11:13 |          66.15 |                    0.0 |  430 |
==============================================================================================================
