#	Observing Date = 2023-04-13
#	Observatory = KMTNet_SSO
#	-18 deg sunset = 19:08
#	-18 deg sunrise = 05:01
#	Moon ra, dec = 18:15:26   -27:56:37
#	Moon phase = 0.66
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|       name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |                 weight | note |
| MS181101ab | 12:43:16 | -13:24:15 |    19:15 |       23:24 |   03:37 |          77.71 |                    0.0 | 1494 |
| MS181101ab | 12:47:28 | -15:19:08 |    19:15 |       23:29 |   03:45 |          75.96 |                    0.0 | 1312 |
| MS181101ab | 12:48:00 | -17:14:02 |    19:11 |       23:29 |   03:50 |          75.03 |                    0.0 | 1131 |
| MS181101ab | 12:48:32 | -19:08:56 |    19:08 |       23:30 |   03:54 |          74.11 |                    0.0 |  952 |
| MS181101ab | 12:51:08 | -13:24:15 |    19:23 |       23:32 |   03:45 |           76.0 |                    0.0 | 1495 |
| MS181101ab | 12:55:23 | -15:19:08 |    19:23 |       23:37 |   03:53 |          74.24 |    0.04584370205108399 | 1313 |
| MS181101ab | 12:56:00 | -17:14:02 |    19:19 |       23:37 |   03:58 |           73.3 |   0.005343367263952104 | 1132 |
| MS181101ab | 12:56:37 | -19:08:56 |    19:16 |       23:38 |   04:02 |          72.37 |    0.39144992683970636 |  953 |
| MS181101ab | 12:57:16 | -21:03:49 |    19:13 |       23:38 |   04:07 |          71.45 |  0.0011423791598734567 |  776 |
| MS181101ab | 12:57:55 | -22:58:43 |    19:10 |       23:39 |   04:11 |          70.56 | 1.6677652885592557e-05 |  601 |
| MS181101ab | 13:04:00 | -17:14:02 |    19:27 |       23:45 |   04:06 |          71.56 |                    0.0 | 1133 |
| MS181101ab | 13:04:43 | -19:08:56 |    19:24 |       23:46 |   04:10 |          70.62 |                    0.0 |  954 |
| MS181101ab | 13:05:27 | -21:03:49 |    19:21 |       23:47 |   04:15 |           69.7 |  5.956541453397534e-05 |  777 |
| MS181101ab | 13:06:12 | -22:58:43 |    19:18 |       23:47 |   04:19 |           68.8 |      2.639252087962836 |  602 |
| MS181101ab | 13:06:58 | -24:53:37 |    19:15 |       23:48 |   04:24 |          67.92 |     1.1214367949266613 |  429 |
| MS181101ab | 13:12:25 | -26:48:30 |    19:17 |       23:54 |   04:33 |          66.08 |    0.04673906423820728 |  259 |
| MS181101ab | 13:13:38 | -21:03:49 |    19:29 |       23:55 |   04:23 |          67.94 |   0.004156345504662349 |  778 |
| MS181101ab | 13:14:28 | -22:58:43 |    19:26 |       23:56 |   04:28 |          67.03 |    0.06825146221399989 |  603 |
| MS181101ab | 13:15:20 | -24:53:37 |    19:23 |       23:57 |   04:32 |          66.15 |                    0.0 |  430 |
==============================================================================================================
