#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
1643,197.228,-23.455,197.870,-22.862,197.875,-24.045,196.580,-24.045,196.586,-22.862,13,3.237,0,0.9,MS181101ab,1643,3.237
1341,197.342,-24.545,197.989,-23.953,197.996,-25.136,196.689,-25.136,196.695,-23.953,7,0.740,1,0.9,MS181101ab,1341,0.740
2561,193.935,-20.182,194.563,-19.589,194.568,-20.772,193.303,-20.772,193.308,-19.589,3,0.381,2,0.95,MS181101ab,2561,0.381
1947,196.471,-22.364,197.107,-21.771,197.113,-22.954,195.828,-22.954,195.834,-21.771,6,0.174,3,0.99,MS181101ab,1947,0.174
746,198.915,-26.727,199.574,-26.134,199.581,-27.317,198.250,-27.317,198.256,-26.134,3,0.046,4,0.99,MS181101ab,746,0.046
3817,193.585,-15.818,194.198,-15.226,194.201,-16.409,192.968,-16.409,192.972,-15.226,4,0.046,5,1.0,MS181101ab,3817,0.046
1340,196.146,-24.545,196.793,-23.953,196.800,-25.136,195.493,-25.136,195.499,-23.953,3,0.016,6,1.0,MS181101ab,1340,0.016
2872,193.846,-19.091,194.470,-18.498,194.474,-19.681,193.218,-19.681,193.222,-18.498,2,0.010,7,1.0,MS181101ab,2872,0.010
1642,196.040,-23.455,196.681,-22.862,196.687,-24.045,195.392,-24.045,195.398,-22.862,3,0.007,8,1.0,MS181101ab,1642,0.007
2255,197.532,-21.273,198.165,-20.680,198.170,-21.863,196.895,-21.863,196.900,-20.680,2,0.004,9,1.0,MS181101ab,2255,0.004
3500,193.671,-16.909,194.287,-16.317,194.291,-17.500,193.051,-17.500,193.055,-16.317,3,0.003,10,1.0,MS181101ab,3500,0.003
3186,194.904,-18.000,195.524,-17.408,195.528,-18.591,194.280,-18.591,194.285,-17.408,1,0.002,11,1.0,MS181101ab,3186,0.002
2252,194.026,-21.273,194.658,-20.680,194.663,-21.863,193.389,-21.863,193.394,-20.680,1,0.001,12,1.0,MS181101ab,2252,0.001
3501,194.810,-16.909,195.426,-16.317,195.430,-17.500,194.190,-17.500,194.194,-16.317,2,0.001,13,1.0,MS181101ab,3501,0.001
1042,198.121,-25.636,198.774,-25.043,198.780,-26.226,197.461,-26.226,197.468,-25.043,1,0.001,14,1.0,MS181101ab,1042,0.001
3185,193.758,-18.000,194.378,-17.408,194.382,-18.591,193.134,-18.591,193.138,-17.408,1,0.000,15,1.0,MS181101ab,3185,0.000
1946,195.294,-22.364,195.931,-21.771,195.936,-22.954,194.652,-22.954,194.657,-21.771,1,0.000,16,1.0,MS181101ab,1946,0.000
1644,198.416,-23.455,199.058,-22.862,199.064,-24.045,197.768,-24.045,197.774,-22.862,1,0.000,17,1.0,MS181101ab,1644,0.000
1342,198.538,-24.545,199.185,-23.953,199.192,-25.136,197.885,-25.136,197.891,-23.953,0,0.000,18,1.0,MS181101ab,1342,0.000
2253,195.195,-21.273,195.827,-20.680,195.832,-21.863,194.557,-21.863,194.563,-20.680,0,0.000,19,1.0,MS181101ab,2253,0.000
1043,199.329,-25.636,199.982,-25.043,199.988,-26.226,198.670,-26.226,198.676,-25.043,0,0.000,20,1.0,MS181101ab,1043,0.000
1948,197.647,-22.364,198.284,-21.771,198.289,-22.954,197.005,-22.954,197.010,-21.771,0,0.000,21,1.0,MS181101ab,1948,0.000
1041,196.913,-25.636,197.566,-25.043,197.572,-26.226,196.253,-26.226,196.260,-25.043,0,0.000,22,1.0,MS181101ab,1041,0.000
4455,192.897,-13.636,193.504,-13.044,193.507,-14.227,192.287,-14.227,192.290,-13.044,0,0.000,23,1.0,MS181101ab,4455,0.000
2563,196.258,-20.182,196.886,-19.589,196.891,-20.772,195.625,-20.772,195.630,-19.589,0,0.000,24,1.0,MS181101ab,2563,0.000
2254,196.364,-21.273,196.996,-20.680,197.001,-21.863,195.726,-21.863,195.731,-20.680,0,0.000,25,1.0,MS181101ab,2254,0.000
2562,195.097,-20.182,195.725,-19.589,195.729,-20.772,194.464,-20.772,194.469,-19.589,0,0.000,26,1.0,MS181101ab,2562,0.000
4454,191.776,-13.636,192.383,-13.044,192.386,-14.227,191.166,-14.227,191.169,-13.044,0,0.000,27,1.0,MS181101ab,4454,0.000
2564,197.419,-20.182,198.047,-19.589,198.052,-20.772,196.787,-20.772,196.792,-19.589,0,0.000,28,1.0,MS181101ab,2564,0.000
2873,195.000,-19.091,195.624,-18.498,195.628,-19.681,194.372,-19.681,194.376,-18.498,0,0.000,29,1.0,MS181101ab,2873,0.000
2874,196.154,-19.091,196.778,-18.498,196.782,-19.681,195.526,-19.681,195.530,-18.498,0,0.000,30,1.0,MS181101ab,2874,0.000
3184,192.611,-18.000,193.231,-17.408,193.235,-18.591,191.987,-18.591,191.992,-17.408,0,0.000,31,1.0,MS181101ab,3184,0.000
3187,196.051,-18.000,196.671,-17.408,196.675,-18.591,195.427,-18.591,195.431,-17.408,0,0.000,32,1.0,MS181101ab,3187,0.000
3499,192.532,-16.909,193.148,-16.317,193.152,-17.500,191.911,-17.500,191.915,-16.317,0,0.000,33,1.0,MS181101ab,3499,0.000
3815,191.321,-15.818,191.934,-15.226,191.937,-16.409,190.704,-16.409,190.708,-15.226,0,0.000,34,1.0,MS181101ab,3815,0.000
3816,192.453,-15.818,193.066,-15.226,193.069,-16.409,191.836,-16.409,191.840,-15.226,0,0.000,35,1.0,MS181101ab,3816,0.000
3818,194.717,-15.818,195.330,-15.226,195.334,-16.409,194.100,-16.409,194.104,-15.226,0,0.000,36,1.0,MS181101ab,3818,0.000
4134,191.850,-14.727,192.459,-14.135,192.463,-15.318,191.236,-15.318,191.240,-14.135,0,0.000,37,1.0,MS181101ab,4134,0.000
4135,192.978,-14.727,193.588,-14.135,193.591,-15.318,192.365,-15.318,192.368,-14.135,0,0.000,38,1.0,MS181101ab,4135,0.000
4136,194.107,-14.727,194.717,-14.135,194.720,-15.318,193.493,-15.318,193.497,-14.135,1,0.000,39,1.0,MS181101ab,4136,0.000
745,197.695,-26.727,198.354,-26.134,198.361,-27.317,197.029,-27.317,197.036,-26.134,0,0.000,40,1.0,MS181101ab,745,0.000
