#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
602,196.552,-22.979,197.630,-21.975,197.646,-23.975,195.457,-23.975,195.474,-21.975,19,2.639,0,0.9,MS181101ab,602,2.639
429,196.744,-24.894,197.838,-23.890,197.856,-25.890,195.633,-25.890,195.651,-23.890,10,1.121,1,0.9,MS181101ab,429,1.121
953,194.157,-19.149,195.209,-18.146,195.222,-20.146,193.092,-20.146,193.105,-18.146,5,0.391,2,0.99,MS181101ab,953,0.391
603,198.621,-22.979,199.699,-21.975,199.715,-23.975,197.526,-23.975,197.542,-21.975,3,0.068,3,0.99,MS181101ab,603,0.068
259,198.107,-26.809,199.217,-25.804,199.237,-27.804,196.976,-27.804,196.996,-25.804,3,0.047,4,0.99,MS181101ab,259,0.047
1313,193.846,-15.319,194.878,-14.317,194.888,-16.317,192.804,-16.317,192.814,-14.317,5,0.046,5,1.0,MS181101ab,1313,0.046
1132,194.000,-17.234,195.041,-16.231,195.053,-18.231,192.947,-18.231,192.959,-16.231,5,0.005,6,1.0,MS181101ab,1132,0.005
778,198.409,-21.064,199.474,-20.060,199.488,-22.060,197.330,-22.060,197.345,-20.060,1,0.004,7,1.0,MS181101ab,778,0.004
776,194.318,-21.064,195.383,-20.060,195.397,-22.060,193.239,-22.060,193.254,-20.060,1,0.001,8,1.0,MS181101ab,776,0.001
777,196.364,-21.064,197.428,-20.060,197.442,-22.060,195.285,-22.060,195.299,-20.060,1,0.000,9,1.0,MS181101ab,777,0.000
601,194.483,-22.979,195.561,-21.975,195.577,-23.975,193.388,-23.975,193.405,-21.975,1,0.000,10,1.0,MS181101ab,601,0.000
430,198.837,-24.894,199.931,-23.890,199.949,-25.890,197.726,-25.890,197.744,-23.890,0,0.000,11,1.0,MS181101ab,430,0.000
1495,192.787,-13.404,193.811,-12.402,193.819,-14.402,191.755,-14.402,191.763,-12.402,0,0.000,12,1.0,MS181101ab,1495,0.000
1494,190.820,-13.404,191.843,-12.402,191.852,-14.402,189.787,-14.402,189.796,-12.402,0,0.000,13,1.0,MS181101ab,1494,0.000
954,196.180,-19.149,197.232,-18.146,197.245,-20.146,195.115,-20.146,195.128,-18.146,0,0.000,14,1.0,MS181101ab,954,0.000
1131,192.000,-17.234,193.041,-16.231,193.053,-18.231,190.947,-18.231,190.959,-16.231,0,0.000,15,1.0,MS181101ab,1131,0.000
1133,196.000,-17.234,197.041,-16.231,197.053,-18.231,194.947,-18.231,194.959,-16.231,0,0.000,16,1.0,MS181101ab,1133,0.000
1312,191.868,-15.319,192.900,-14.317,192.910,-16.317,190.826,-16.317,190.836,-14.317,0,0.000,17,1.0,MS181101ab,1312,0.000
952,192.135,-19.149,193.187,-18.146,193.200,-20.146,191.070,-20.146,191.083,-18.146,0,0.000,18,1.0,MS181101ab,952,0.000
