#	Observing Date = 2023-05-22
#	Observatory = KMTNet_CTIO
#	-18 deg sunset = 01:17
#	-18 deg sunrise = 12:02
#	Moon ra, dec = 05:30:51   +27:16:07
#	Moon phase = 0.04
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|     name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |               weight | note |
| S230518h | 07:13:44 | -28:43:24 |    17:21 |       21:58 |   02:41 |          61.18 |   0.1220058984812034 |   50 |
| S230518h | 07:14:33 | -26:48:30 |    17:25 |       21:59 |   02:38 |          59.55 |                  0.0 |  217 |
| S230518h | 21:55:27 | -11:29:21 |    08:34 |       12:40 |   16:47 |         116.32 |  0.16399942531885603 | 1749 |
| S230518h | 21:56:07 |  -7:39:34 |    08:44 |       12:41 |   16:38 |         114.51 |   0.7837900829037991 | 2121 |
| S230518h | 21:56:07 |  -9:34:28 |    08:39 |       12:41 |   16:43 |         115.35 |  0.18725653629766606 | 1935 |
| S230518h | 21:56:47 |  -5:44:40 |    08:49 |       12:41 |   16:34 |          113.5 |  0.11620297425355232 | 2308 |
| S230518h | 22:03:52 |  -7:39:34 |    08:51 |       12:49 |   16:46 |         112.79 |   0.2339424212974431 | 2122 |
| S230518h | 22:04:29 |  -5:44:40 |    08:57 |       12:49 |   16:42 |         111.79 |   0.5873971603330438 | 2309 |
| S230518h | 22:04:29 |  -3:49:47 |    09:02 |       12:49 |   16:37 |         110.91 |  0.18679988159523914 | 2496 |
| S230518h | 22:05:06 |  -1:54:53 |    09:07 |       12:50 |   16:33 |         109.87 |  0.16731768326050472 | 2684 |
| S230518h | 22:12:11 |  -3:49:47 |    09:09 |       12:57 |   16:45 |         109.21 |  0.11967643623835707 | 2497 |
| S230518h | 22:12:45 |  -1:54:53 |    09:15 |       12:57 |   16:40 |         108.19 |  0.24916855383870778 | 2685 |
| S230518h | 22:12:45 |  01:54:53 |    09:26 |       12:57 |   16:29 |         106.35 |  0.07552714740573403 | 3061 |
| S230518h | 22:12:45 |  00:00:00 |    09:20 |       12:57 |   16:35 |         107.28 |  0.16415822178018033 | 2873 |
| S230518h | 22:19:53 |  03:49:47 |    09:39 |       13:05 |   16:30 |         103.86 |  0.18494952386094976 | 3249 |
| S230518h | 22:20:25 |  01:54:53 |    09:34 |       13:05 |   16:37 |         104.68 |  0.19889336797841128 | 3062 |
| S230518h | 22:20:25 |  00:00:00 |    09:28 |       13:05 |   16:42 |          105.6 |  0.11699677485093256 | 2874 |
| S230518h | 22:27:05 |  07:39:34 |    10:00 |       13:12 |   16:24 |         100.42 |  0.04676108784582412 | 3623 |
| S230518h | 22:27:35 |  03:49:47 |    09:47 |       13:12 |   16:38 |         102.19 |  0.18874232384462966 | 3250 |
| S230518h | 22:27:35 |  05:44:40 |    09:53 |       13:12 |   16:31 |         101.25 |  0.12439796655470399 | 3437 |
| S230518h | 22:28:05 |  01:54:53 |    09:41 |       13:13 |   16:44 |          103.0 |  0.04063752962090181 | 3063 |
| S230518h | 22:34:50 |  07:39:34 |    10:07 |       13:20 |   16:32 |          98.75 |  0.05018606045716222 | 3624 |
| S230518h | 22:34:50 |  09:34:28 |    10:15 |       13:20 |   16:25 |          97.81 | 0.024784480124752095 | 3810 |
| S230518h | 22:35:17 |  05:44:40 |    10:01 |       13:20 |   16:39 |          99.58 | 0.023819120948111176 | 3438 |
| S230518h | 22:42:34 |  09:34:28 |    10:22 |       13:27 |   16:32 |          96.14 | 0.019752358256719133 | 3811 |
==============================================================================================================
