#	Observing Date = 2023-05-22
#	Observatory = KMTNet_SAAO
#	-18 deg sunset = 03:09
#	-18 deg sunrise = 13:57
#	Moon ra, dec = 05:30:51   +27:16:07
#	Moon phase = 0.04
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|     name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |               weight | note |
| S230518h | 07:05:03 | -28:43:24 |    19:04 |       23:44 |   04:29 |          60.37 |   1.3958853297737877 |   49 |
| S230518h | 07:13:44 | -28:43:24 |    19:12 |       23:53 |   04:38 |          61.18 |   0.1220058984812034 |   50 |
| S230518h | 07:14:33 | -26:48:30 |    19:17 |       23:54 |   04:35 |          59.55 |                  0.0 |  217 |
| S230518h | 21:55:27 | -11:29:21 |    10:29 |       14:34 |   18:40 |         116.32 |  0.16399942531885603 | 1749 |
| S230518h | 21:56:07 |  -9:34:28 |    10:35 |       14:35 |   18:36 |         115.35 |  0.18725653629766606 | 1935 |
| S230518h | 21:56:07 |  -7:39:34 |    10:40 |       14:35 |   18:31 |         114.51 |   0.7837900829037991 | 2121 |
| S230518h | 21:56:47 |  -5:44:40 |    10:45 |       14:36 |   18:27 |          113.5 |  0.11620297425355232 | 2308 |
| S230518h | 22:03:52 |  -7:39:34 |    10:47 |       14:43 |   18:39 |         112.79 |   0.2339424212974431 | 2122 |
| S230518h | 22:04:29 |  -5:44:40 |    10:53 |       14:44 |   18:34 |         111.79 |   0.5873971603330438 | 2309 |
| S230518h | 22:04:29 |  -3:49:47 |    10:58 |       14:44 |   18:29 |         110.91 |  0.18679988159523914 | 2496 |
| S230518h | 22:05:06 |  -1:54:53 |    11:05 |       14:44 |   18:24 |         109.87 |  0.16731768326050472 | 2684 |
| S230518h | 22:12:11 |  -3:49:47 |    11:06 |       14:51 |   18:37 |         109.21 |  0.11967643623835707 | 2497 |
| S230518h | 22:12:45 |  -1:54:53 |    11:12 |       14:52 |   18:32 |         108.19 |  0.24916855383870778 | 2685 |
| S230518h | 22:12:45 |  01:54:53 |    11:24 |       14:52 |   18:20 |         106.35 |  0.07552714740573403 | 3061 |
| S230518h | 22:12:45 |  00:00:00 |    11:18 |       14:52 |   18:26 |         107.28 |  0.16415822178018033 | 2873 |
| S230518h | 22:19:53 |  03:49:47 |    11:38 |       14:59 |   18:20 |         103.86 |  0.18494952386094976 | 3249 |
| S230518h | 22:20:25 |  00:00:00 |    11:26 |       14:59 |   18:33 |          105.6 |  0.11699677485093256 | 2874 |
| S230518h | 22:20:25 |  01:54:53 |    11:32 |       14:59 |   18:27 |         104.68 |  0.19889336797841128 | 3062 |
| S230518h | 22:27:05 |  07:39:34 |    11:59 |       15:06 |   18:13 |         100.42 |  0.04676108784582412 | 3623 |
| S230518h | 22:27:35 |  05:44:40 |    11:53 |       15:07 |   18:21 |         101.25 |  0.12439796655470399 | 3437 |
| S230518h | 22:27:35 |  03:49:47 |    11:46 |       15:07 |   18:28 |         102.19 |  0.18874232384462966 | 3250 |
| S230518h | 22:28:05 |  01:54:53 |    11:40 |       15:07 |   18:35 |          103.0 |  0.04063752962090181 | 3063 |
| S230518h | 22:34:50 |  09:34:28 |    12:15 |       15:14 |   18:13 |          97.81 | 0.024784480124752095 | 3810 |
| S230518h | 22:34:50 |  07:39:34 |    12:07 |       15:14 |   18:21 |          98.75 |  0.05018606045716222 | 3624 |
| S230518h | 22:35:17 |  05:44:40 |    12:00 |       15:14 |   18:29 |          99.58 | 0.023819120948111176 | 3438 |
| S230518h | 22:42:34 |  09:34:28 |    12:23 |       15:22 |   18:21 |          96.14 | 0.019752358256719133 | 3811 |
==============================================================================================================
