#	Observing Date = 2023-05-22
#	Observatory = KMTNet_SSO
#	-18 deg sunset = 18:37
#	-18 deg sunrise = 05:23
#	Moon ra, dec = 05:30:51   +27:16:07
#	Moon phase = 0.04
#	Moon seperation limit = 40
#	Altitude limit = 30
==============================================================================================================
|     name |       ra |       dec | rise(LT) | transit(LT) | set(LT) | moon_dist(deg) |               weight | note |
| S230518h | 07:13:44 | -28:43:24 |    10:42 |       15:21 |   20:05 |          61.18 |   0.1220058984812034 |   50 |
| S230518h | 07:14:33 | -26:48:30 |    10:47 |       15:22 |   20:02 |          59.55 |                  0.0 |  217 |
| S230518h | 21:55:27 | -11:29:21 |    01:57 |       06:03 |   10:09 |         116.32 |  0.16399942531885603 | 1749 |
| S230518h | 21:56:07 |  -9:34:28 |    02:02 |       06:04 |   10:05 |         115.35 |  0.18725653629766606 | 1935 |
| S230518h | 21:56:07 |  -7:39:34 |    02:07 |       06:04 |   10:01 |         114.51 |   0.7837900829037991 | 2121 |
| S230518h | 21:56:47 |  -5:44:40 |    02:13 |       06:04 |   09:56 |          113.5 |  0.11620297425355232 | 2308 |
| S230518h | 22:03:52 |  -7:39:34 |    02:15 |       06:11 |   10:08 |         112.79 |   0.2339424212974431 | 2122 |
| S230518h | 22:04:29 |  -5:44:40 |    02:20 |       06:12 |   10:04 |         111.79 |   0.5873971603330438 | 2309 |
| S230518h | 22:04:29 |  -3:49:47 |    02:25 |       06:12 |   09:59 |         110.91 |  0.18679988159523914 | 2496 |
| S230518h | 22:05:06 |  -1:54:53 |    02:31 |       06:13 |   09:54 |         109.87 |  0.16731768326050472 | 2684 |
| S230518h | 22:12:11 |  -3:49:47 |    02:33 |       06:20 |   10:07 |         109.21 |  0.11967643623835707 | 2497 |
| S230518h | 22:12:45 |  -1:54:53 |    02:39 |       06:20 |   10:02 |         108.19 |  0.24916855383870778 | 2685 |
| S230518h | 22:12:45 |  01:54:53 |    02:50 |       06:20 |   09:50 |         106.35 |  0.07552714740573403 | 3061 |
| S230518h | 22:12:45 |  00:00:00 |    02:45 |       06:20 |   09:56 |         107.28 |  0.16415822178018033 | 2873 |
| S230518h | 22:19:53 |  03:49:47 |    03:04 |       06:27 |   09:51 |         103.86 |  0.18494952386094976 | 3249 |
| S230518h | 22:20:25 |  01:54:53 |    02:58 |       06:28 |   09:58 |         104.68 |  0.19889336797841128 | 3062 |
| S230518h | 22:20:25 |  00:00:00 |    02:52 |       06:28 |   10:04 |          105.6 |  0.11699677485093256 | 2874 |
| S230518h | 22:27:05 |  07:39:34 |    03:24 |       06:35 |   09:45 |         100.42 |  0.04676108784582412 | 3623 |
| S230518h | 22:27:35 |  03:49:47 |    03:11 |       06:35 |   09:59 |         102.19 |  0.18874232384462966 | 3250 |
| S230518h | 22:27:35 |  05:44:40 |    03:18 |       06:35 |   09:52 |         101.25 |  0.12439796655470399 | 3437 |
| S230518h | 22:28:05 |  01:54:53 |    03:06 |       06:36 |   10:06 |          103.0 |  0.04063752962090181 | 3063 |
| S230518h | 22:34:50 |  07:39:34 |    03:32 |       06:42 |   09:52 |          98.75 |  0.05018606045716222 | 3624 |
| S230518h | 22:34:50 |  09:34:28 |    03:40 |       06:42 |   09:45 |          97.81 | 0.024784480124752095 | 3810 |
| S230518h | 22:35:17 |  05:44:40 |    03:26 |       06:43 |   10:00 |          99.58 | 0.023819120948111176 | 3438 |
| S230518h | 22:42:34 |  09:34:28 |    03:47 |       06:50 |   09:53 |          96.14 | 0.019752358256719133 | 3811 |
==============================================================================================================
