#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
5335,95.556,-10.364,96.156,-9.772,96.158,-10.955,94.953,-10.955,94.955,-9.772,37,2.337,0,0.5,S230518h,5335,2.337
1262,102.857,-24.545,103.504,-23.953,103.510,-25.136,102.204,-25.136,102.210,-23.953,191,2.232,1,0.5,S230518h,1262,2.232
2479,98.710,-20.182,99.337,-19.589,99.342,-20.772,98.077,-20.772,98.082,-19.589,111,2.103,2,0.5,S230518h,2479,2.103
667,102.508,-26.727,103.167,-26.134,103.174,-27.317,101.843,-27.317,101.850,-26.134,190,2.094,3,0.5,S230518h,667,2.094
10569,81.468,7.091,82.065,7.682,82.063,6.499,80.873,6.499,80.871,7.682,45,2.022,4,0.5,S230518h,10569,2.022
962,101.477,-25.636,102.129,-25.043,102.136,-26.226,100.817,-26.226,100.824,-25.043,161,1.824,5,0.5,S230518h,962,1.824
1261,101.661,-24.545,102.308,-23.953,102.314,-25.136,101.008,-25.136,101.014,-23.953,198,1.798,6,0.5,S230518h,1261,1.798
9914,82.317,4.909,82.911,5.500,82.910,4.317,81.724,4.317,81.723,5.500,93,1.778,7,0.5,S230518h,9914,1.778
963,102.685,-25.636,103.337,-25.043,103.344,-26.226,102.025,-26.226,102.032,-25.043,185,1.773,8,0.5,S230518h,963,1.773
2172,100.519,-21.273,101.152,-20.680,101.157,-21.863,99.882,-21.863,99.887,-20.680,121,1.696,9,0.5,S230518h,2172,1.696
668,103.729,-26.727,104.388,-26.134,104.395,-27.317,103.063,-27.317,103.070,-26.134,198,1.648,10,0.5,S230518h,668,1.648
1563,102.178,-23.455,102.820,-22.862,102.826,-24.045,101.531,-24.045,101.536,-22.862,224,1.611,11,0.5,S230518h,1563,1.611
5336,96.667,-10.364,97.267,-9.772,97.269,-10.955,96.064,-10.955,96.066,-9.772,18,1.504,12,0.5,S230518h,5336,1.504
10242,82.317,6.000,82.912,6.591,82.911,5.408,81.723,5.408,81.722,6.591,28,1.450,13,0.5,S230518h,10242,1.450
2791,100.385,-19.091,101.008,-18.498,101.013,-19.681,99.756,-19.681,99.761,-18.498,31,1.433,14,0.5,S230518h,2791,1.433
3732,97.358,-15.818,97.971,-15.226,97.975,-16.409,96.742,-16.409,96.746,-15.226,165,1.398,15,0.5,S230518h,3732,1.398
4368,95.327,-13.636,95.934,-13.044,95.937,-14.227,94.717,-14.227,94.720,-13.044,24,1.363,16,0.5,S230518h,4368,1.363
10239,79.024,6.000,79.620,6.591,79.619,5.408,78.430,5.408,78.429,6.591,176,1.347,17,0.5,S230518h,10239,1.347
9915,83.415,4.909,84.009,5.500,84.008,4.317,82.821,4.317,82.820,5.500,24,1.333,18,0.5,S230518h,9915,1.333
11220,79.754,9.273,80.354,9.864,80.352,8.681,79.156,8.681,79.154,9.864,29,1.317,19,0.5,S230518h,11220,1.317
4370,97.570,-13.636,98.177,-13.044,98.180,-14.227,96.960,-14.227,96.963,-13.044,43,1.289,20,0.5,S230518h,4370,1.289
83,103.034,-28.909,103.706,-28.316,103.714,-29.499,102.355,-29.499,102.363,-28.316,138,1.286,21,0.5,S230518h,83,1.286
5012,95.851,-11.455,96.454,-10.862,96.456,-12.045,95.247,-12.045,95.249,-10.862,27,1.284,22,0.5,S230518h,5012,1.284
11219,78.646,9.273,79.246,9.864,79.244,8.681,78.048,8.681,78.046,9.864,46,1.284,23,0.5,S230518h,11219,1.284
8602,86.444,0.545,87.035,1.137,87.035,-0.046,85.852,-0.046,85.852,1.137,14,1.247,24,0.5,S230518h,8602,1.247
374,103.208,-27.818,103.873,-27.225,103.881,-28.408,102.536,-28.408,102.543,-27.225,169,1.179,25,0.5,S230518h,374,1.179
4690,96.149,-12.545,96.754,-11.953,96.756,-13.136,95.542,-13.136,95.544,-11.953,19,1.176,26,0.5,S230518h,4690,1.176
2480,99.871,-20.182,100.499,-19.589,100.504,-20.772,99.238,-20.772,99.243,-19.589,54,1.164,27,0.5,S230518h,2480,1.164
3416,97.975,-16.909,98.591,-16.317,98.595,-17.500,97.355,-17.500,97.358,-16.317,110,1.131,28,0.5,S230518h,3416,1.131
8931,86.444,1.636,87.036,2.228,87.035,1.045,85.852,1.045,85.852,2.228,17,1.121,29,0.5,S230518h,8931,1.121
1260,100.465,-24.545,101.112,-23.953,101.118,-25.136,99.812,-25.136,99.818,-23.953,135,1.108,30,0.5,S230518h,1260,1.108
3101,97.452,-18.000,98.072,-17.408,98.076,-18.591,96.828,-18.591,96.832,-17.408,175,1.099,31,0.5,S230518h,3101,1.099
8932,87.538,1.636,88.130,2.228,88.130,1.045,86.946,1.045,86.946,2.228,17,1.084,32,0.5,S230518h,8932,1.084
9258,84.255,2.727,84.848,3.319,84.847,2.136,83.663,2.136,83.663,3.319,72,1.076,33,0.5,S230518h,9258,1.076
10241,81.220,6.000,81.815,6.591,81.814,5.408,80.625,5.408,80.624,6.591,55,1.076,34,0.5,S230518h,10241,1.076
373,101.980,-27.818,102.645,-27.225,102.652,-28.408,101.307,-28.408,101.314,-27.225,160,1.026,35,0.5,S230518h,373,1.026
4050,97.053,-14.727,97.663,-14.135,97.667,-15.318,96.440,-15.318,96.443,-14.135,136,1.020,36,0.5,S230518h,4050,1.020
4051,98.182,-14.727,98.792,-14.135,98.795,-15.318,97.569,-15.318,97.572,-14.135,65,1.019,37,0.5,S230518h,4051,1.019
375,104.437,-27.818,105.102,-27.225,105.109,-28.408,103.764,-28.408,103.772,-27.225,220,1.010,38,0.5,S230518h,375,1.010
6307,91.376,-7.091,91.971,-6.499,91.973,-7.682,90.779,-7.682,90.781,-6.499,7,1.001,39,0.5,S230518h,6307,1.001
10567,79.266,7.091,79.863,7.682,79.861,6.499,78.671,6.499,78.669,7.682,125,0.981,40,0.5,S230518h,10567,0.981
5983,93.865,-8.182,94.462,-7.590,94.464,-8.773,93.267,-8.773,93.268,-7.590,21,0.956,41,0.5,S230518h,5983,0.956
2792,101.538,-19.091,102.162,-18.498,102.167,-19.681,100.910,-19.681,100.915,-18.498,23,0.936,42,0.5,S230518h,2792,0.936
1865,100.000,-22.364,100.637,-21.771,100.642,-22.954,99.358,-22.954,99.363,-21.771,111,0.934,43,0.5,S230518h,1865,0.934
1562,100.990,-23.455,101.632,-22.862,101.638,-24.045,100.342,-24.045,100.348,-22.862,166,0.932,44,0.5,S230518h,1562,0.932
3417,99.114,-16.909,99.730,-16.317,99.734,-17.500,98.494,-17.500,98.498,-16.317,29,0.921,45,0.5,S230518h,3417,0.921
85,105.517,-28.909,106.189,-28.316,106.197,-29.499,104.838,-29.499,104.845,-28.316,178,0.915,46,0.5,S230518h,85,0.915
5013,96.966,-11.455,97.568,-10.862,97.571,-12.045,96.361,-12.045,96.364,-10.862,20,0.908,47,0.5,S230518h,5013,0.908
10568,80.367,7.091,80.964,7.682,80.962,6.499,79.772,6.499,79.770,7.682,49,0.907,48,0.5,S230518h,10568,0.907
9259,85.350,2.727,85.942,3.319,85.941,2.136,84.758,2.136,84.757,3.319,13,0.906,49,0.5,S230518h,9259,0.906
2171,99.351,-21.273,99.983,-20.680,99.988,-21.863,98.713,-21.863,98.718,-20.680,129,0.902,50,0.5,S230518h,2171,0.902
666,101.288,-26.727,101.947,-26.134,101.954,-27.317,100.622,-27.317,100.629,-26.134,152,0.885,51,0.5,S230518h,666,0.885
5658,94.154,-9.273,94.752,-8.681,94.754,-9.864,93.554,-9.864,93.556,-8.681,13,0.885,52,0.5,S230518h,5658,0.885
1564,103.366,-23.455,104.008,-22.862,104.014,-24.045,102.719,-24.045,102.724,-22.862,156,0.867,53,0.5,S230518h,1564,0.867
10895,80.613,8.182,81.212,8.773,81.210,7.590,80.017,7.590,80.015,8.773,34,0.860,54,0.5,S230518h,10895,0.860
8601,85.350,0.545,85.941,1.137,85.941,-0.046,84.758,-0.046,84.758,1.137,23,0.857,55,0.5,S230518h,8601,0.857
10243,83.415,6.000,84.010,6.591,84.009,5.408,82.821,5.408,82.819,6.591,27,0.854,56,0.5,S230518h,10243,0.854
2173,101.688,-21.273,102.321,-20.680,102.326,-21.863,101.051,-21.863,101.056,-20.680,69,0.827,57,0.5,S230518h,2173,0.827
3415,96.835,-16.909,97.452,-16.317,97.456,-17.500,96.215,-17.500,96.219,-16.317,120,0.822,58,0.5,S230518h,3415,0.822
4367,94.206,-13.636,94.813,-13.044,94.816,-14.227,93.595,-14.227,93.598,-13.044,24,0.812,59,0.5,S230518h,4367,0.812
3731,96.226,-15.818,96.839,-15.226,96.843,-16.409,95.610,-16.409,95.613,-15.226,88,0.804,60,0.5,S230518h,3731,0.804
9917,85.610,4.909,86.204,5.500,86.203,4.317,85.017,4.317,85.016,5.500,18,0.803,61,0.5,S230518h,9917,0.803
961,100.268,-25.636,100.921,-25.043,100.928,-26.226,99.609,-26.226,99.616,-25.043,139,0.791,62,0.5,S230518h,961,0.791
4049,95.925,-14.727,96.535,-14.135,96.538,-15.318,95.312,-15.318,95.315,-14.135,94,0.780,63,0.5,S230518h,4049,0.780
11221,80.862,9.273,81.462,9.864,81.460,8.681,80.263,8.681,80.261,9.864,23,0.764,64,0.9,S230518h,11221,0.764
8929,84.255,1.636,84.847,2.228,84.847,1.045,83.664,1.045,83.663,2.228,46,0.758,65,0.9,S230518h,8929,0.758
9916,84.512,4.909,85.106,5.500,85.105,4.317,83.919,4.317,83.918,5.500,14,0.757,66,0.9,S230518h,9916,0.757
2481,101.032,-20.182,101.660,-19.589,101.665,-20.772,100.400,-20.772,100.404,-19.589,14,0.752,67,0.9,S230518h,2481,0.752
9260,86.444,2.727,87.036,3.319,87.036,2.136,85.852,2.136,85.851,3.319,12,0.748,68,0.9,S230518h,9260,0.748
1866,101.176,-22.364,101.813,-21.771,101.819,-22.954,100.534,-22.954,100.540,-21.771,139,0.748,69,0.9,S230518h,1866,0.748
11543,77.778,10.364,78.380,10.955,78.378,9.772,77.178,9.772,77.175,10.955,27,0.740,70,0.9,S230518h,11543,0.740
5657,93.046,-9.273,93.644,-8.681,93.646,-9.864,92.446,-9.864,92.448,-8.681,17,0.737,71,0.9,S230518h,5657,0.737
1867,102.353,-22.364,102.990,-21.771,102.995,-22.954,101.711,-22.954,101.716,-21.771,171,0.711,72,0.9,S230518h,1867,0.711
964,103.893,-25.636,104.545,-25.043,104.552,-26.226,103.233,-26.226,103.240,-25.043,136,0.695,73,0.9,S230518h,964,0.695
1263,104.053,-24.545,104.700,-23.953,104.706,-25.136,103.400,-25.136,103.406,-23.953,48,0.689,74,0.9,S230518h,1263,0.689
2789,98.077,-19.091,98.701,-18.498,98.705,-19.681,97.449,-19.681,97.453,-18.498,80,0.688,75,0.9,S230518h,2789,0.688
10240,80.122,6.000,80.717,6.591,80.716,5.408,79.528,5.408,79.527,6.591,84,0.685,76,0.9,S230518h,10240,0.685
5334,94.444,-10.364,95.045,-9.772,95.047,-10.955,93.842,-10.955,93.844,-9.772,19,0.683,77,0.9,S230518h,5334,0.683
2790,99.231,-19.091,99.854,-18.498,99.859,-19.681,98.603,-19.681,98.607,-18.498,53,0.682,78,0.9,S230518h,2790,0.682
82,101.793,-28.909,102.465,-28.316,102.473,-29.499,101.114,-29.499,101.121,-28.316,133,0.663,79,0.9,S230518h,82,0.663
7619,90.821,-2.727,91.413,-2.136,91.413,-3.319,90.228,-3.319,90.229,-2.136,14,0.655,80,0.9,S230518h,7619,0.655
9588,85.350,3.818,85.943,4.409,85.942,3.226,84.757,3.226,84.756,4.409,17,0.647,81,0.9,S230518h,9588,0.647
5984,94.969,-8.182,95.566,-7.590,95.568,-8.773,94.371,-8.773,94.373,-7.590,22,0.647,82,0.9,S230518h,5984,0.647
3103,99.745,-18.000,100.365,-17.408,100.369,-18.591,99.121,-18.591,99.125,-17.408,16,0.641,83,0.9,S230518h,3103,0.641
10896,81.718,8.182,82.316,8.773,82.314,7.590,81.121,7.590,81.119,8.773,36,0.633,84,0.9,S230518h,10896,0.633
5010,93.622,-11.455,94.225,-10.862,94.227,-12.045,93.018,-12.045,93.020,-10.862,12,0.632,85,0.9,S230518h,5010,0.632
3733,98.491,-15.818,99.104,-15.226,99.107,-16.409,97.874,-16.409,97.878,-15.226,16,0.628,86,0.9,S230518h,3733,0.628
