#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
194,306.383,-84.449,310.343,-84.023,310.973,-84.845,301.793,-84.845,302.423,-84.023,51,2.027,0,0.5,S230518h,194,2.027
19089,102.857,-24.978,103.310,-24.565,103.313,-25.389,102.401,-25.389,102.404,-24.565,100,1.472,1,0.5,S230518h,19089,1.472
21179,99.953,-21.013,100.393,-20.601,100.396,-21.425,99.510,-21.425,99.513,-20.601,68,1.393,2,0.5,S230518h,21179,1.393
18269,102.353,-26.564,102.812,-26.151,102.815,-26.975,101.891,-26.975,101.894,-26.151,97,1.308,3,0.5,S230518h,18269,1.308
26849,95.034,-10.705,95.452,-10.293,95.453,-11.117,94.614,-11.117,94.615,-10.293,11,1.278,4,0.5,S230518h,26849,1.278
18677,101.854,-25.771,102.310,-25.358,102.313,-26.182,101.395,-26.182,101.398,-25.358,89,1.269,5,0.5,S230518h,18677,1.269
246,300.000,-83.656,303.498,-83.232,303.980,-84.054,296.020,-84.054,296.502,-83.232,75,1.267,6,0.5,S230518h,246,1.267
13981,107.131,-35.286,107.634,-34.873,107.639,-35.697,106.624,-35.697,106.629,-34.873,60,1.231,7,0.5,S230518h,13981,1.231
57,99.310,-86.828,105.873,-86.393,107.804,-87.210,90.816,-87.210,92.748,-86.393,46,1.211,8,0.5,S230518h,57,1.211
305,300.000,-82.863,303.133,-82.440,303.514,-83.263,296.486,-83.263,296.867,-82.440,46,1.210,9,0.5,S230518h,305,1.210
2323,117.160,-68.590,118.268,-68.175,118.309,-68.998,116.010,-68.998,116.052,-68.175,82,1.195,10,0.5,S230518h,2323,1.195
19087,101.114,-24.978,101.567,-24.565,101.570,-25.389,100.658,-25.389,100.661,-24.565,94,1.172,11,0.5,S230518h,19087,1.172
22034,101.538,-19.427,101.974,-19.015,101.976,-19.839,101.100,-19.839,101.103,-19.015,17,1.165,12,0.5,S230518h,22034,1.165
36778,79.024,6.740,79.440,7.152,79.439,6.328,78.610,6.328,78.609,7.152,139,1.149,13,0.5,S230518h,36778,1.149
33616,86.432,1.189,86.844,1.601,86.844,0.777,86.020,0.777,86.020,1.601,12,1.140,14,0.5,S230518h,33616,1.140
21604,99.485,-20.220,99.923,-19.808,99.925,-20.632,99.045,-20.632,99.047,-19.808,38,1.139,15,0.5,S230518h,21604,1.139
58,111.724,-86.828,118.286,-86.393,120.218,-87.210,103.230,-87.210,105.162,-86.393,45,1.117,16,0.5,S230518h,58,1.117
26850,95.839,-10.705,96.258,-10.293,96.259,-11.117,95.419,-11.117,95.420,-10.293,26,1.112,17,0.5,S230518h,26850,1.112
36781,81.419,6.740,81.834,7.152,81.834,6.328,81.005,6.328,81.004,7.152,23,1.106,18,0.5,S230518h,36781,1.106
4514,115.325,-59.868,116.135,-59.453,116.156,-60.277,114.494,-60.277,114.514,-59.453,79,1.092,19,0.5,S230518h,4514,1.092
250,326.667,-83.656,330.165,-83.232,330.647,-84.054,322.686,-84.054,323.169,-83.232,64,1.068,20,0.5,S230518h,250,1.068
2670,115.359,-67.004,116.396,-66.589,116.432,-67.413,114.286,-67.413,114.322,-66.589,68,1.057,21,0.5,S230518h,2670,1.057
247,306.667,-83.656,310.165,-83.232,310.647,-84.054,302.686,-84.054,303.169,-83.232,39,1.054,22,0.5,S230518h,247,1.054
12884,108.698,-37.665,109.216,-37.252,109.221,-38.076,108.175,-38.076,108.180,-37.252,107,1.051,23,0.5,S230518h,12884,1.051
12883,107.701,-37.665,108.218,-37.252,108.224,-38.076,107.177,-38.076,107.183,-37.252,26,1.047,24,0.5,S230518h,12883,1.047
6524,116.044,-53.524,116.730,-53.110,116.744,-53.934,115.344,-53.934,115.358,-53.110,118,1.033,25,0.5,S230518h,6524,1.033
27299,97.232,-9.912,97.650,-9.500,97.651,-10.324,96.813,-10.324,96.814,-9.500,2,1.014,26,0.5,S230518h,27299,1.014
5476,114.286,-56.696,115.028,-56.282,115.044,-57.106,113.527,-57.106,113.544,-56.282,92,1.013,27,0.5,S230518h,5476,1.013
18678,102.732,-25.771,103.188,-25.358,103.191,-26.182,102.273,-26.182,102.276,-25.358,102,1.009,28,0.5,S230518h,18678,1.009
15496,106.321,-32.115,106.805,-31.702,106.810,-32.526,105.833,-32.526,105.837,-31.702,95,1.007,29,0.5,S230518h,15496,1.007
4,108.000,-89.207,126.878,-88.727,155.243,-89.439,60.757,-89.439,89.122,-88.727,89,0.987,30,0.5,S230518h,4,0.987
19503,102.981,-24.185,103.431,-23.772,103.434,-24.596,102.528,-24.596,102.531,-23.772,119,0.986,31,0.5,S230518h,19503,0.986
4513,113.766,-59.868,114.577,-59.453,114.597,-60.277,112.935,-60.277,112.956,-59.453,53,0.982,32,0.5,S230518h,4513,0.982
7077,114.488,-51.938,115.150,-51.524,115.162,-52.348,113.813,-52.348,113.825,-51.524,53,0.974,33,0.5,S230518h,7077,0.974
14729,104.211,-33.700,104.703,-33.287,104.708,-34.111,103.713,-34.111,103.718,-33.287,73,0.925,34,0.5,S230518h,14729,0.925
18270,103.235,-26.564,103.694,-26.151,103.698,-26.975,102.773,-26.975,102.776,-26.151,99,0.919,35,0.5,S230518h,18270,0.919
17864,103.111,-27.357,103.573,-26.944,103.577,-27.768,102.646,-27.768,102.649,-26.944,89,0.912,36,0.5,S230518h,17864,0.912
38130,79.376,9.119,79.794,9.531,79.793,8.707,78.960,8.707,78.959,9.531,15,0.896,37,0.5,S230518h,38130,0.896
