#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
6252,310.909,-84.000,319.059,-82.929,322.233,-84.901,299.585,-84.901,302.760,-82.929,202,5.168,0,0.5,S230518h,6252,5.168
384,102.558,-24.894,103.652,-23.890,103.670,-25.890,101.447,-25.890,101.465,-23.890,531,5.055,1,0.5,S230518h,384,5.055
214,102.249,-26.809,103.359,-25.804,103.379,-27.804,101.118,-27.804,101.138,-25.804,501,4.809,2,0.5,S230518h,214,4.809
7852,113.684,-52.000,115.273,-50.989,115.345,-52.989,112.023,-52.989,112.096,-50.989,447,4.308,3,0.5,S230518h,7852,4.308
5856,116.620,-68.000,119.177,-66.979,119.408,-68.977,113.832,-68.977,114.062,-66.979,350,4.018,4,0.5,S230518h,5856,4.018
6937,107.500,-38.000,108.752,-36.993,108.786,-38.993,106.214,-38.993,106.248,-36.993,312,3.840,5,0.5,S230518h,6937,3.840
7965,115.596,-54.000,117.257,-52.988,117.339,-54.988,113.854,-54.988,113.935,-52.988,500,3.796,6,0.5,S230518h,7965,3.796
8072,114.231,-56.000,115.974,-54.987,116.066,-56.987,112.395,-56.987,112.488,-54.987,496,3.756,7,0.5,S230518h,8072,3.756
6274,108.000,-88.000,126.441,-86.838,153.004,-88.586,62.996,-88.586,89.559,-86.838,414,3.750,8,0.5,S230518h,6274,3.750
6790,107.027,-36.000,108.248,-34.994,108.279,-36.994,105.775,-36.994,105.806,-34.994,220,3.679,9,0.5,S230518h,6790,3.679
3305,82.781,5.745,83.788,6.744,83.784,4.744,81.777,4.744,81.774,6.744,109,3.618,10,0.5,S230518h,3305,3.618
6251,294.545,-84.000,302.695,-82.929,305.869,-84.901,283.222,-84.901,286.396,-82.929,244,3.519,11,0.5,S230518h,6251,3.519
3491,81.290,7.660,82.302,8.658,82.297,6.658,80.284,6.658,80.279,8.658,111,3.456,12,0.5,S230518h,3491,3.456
6260,112.500,-86.000,123.823,-84.901,130.943,-86.838,94.057,-86.838,101.177,-84.901,224,3.394,13,0.5,S230518h,6260,3.394
1629,95.351,-11.489,96.368,-10.488,96.375,-12.488,94.327,-12.488,94.335,-10.488,56,3.367,14,0.5,S230518h,1629,3.367
5988,115.932,-72.000,119.001,-70.975,119.348,-72.972,112.516,-72.972,112.864,-70.975,344,3.337,15,0.5,S230518h,5988,3.337
907,101.124,-19.149,102.176,-18.146,102.189,-20.146,100.059,-20.146,100.071,-18.146,66,3.285,16,0.5,S230518h,907,3.285
6485,104.516,-32.000,105.683,-30.995,105.708,-32.994,103.324,-32.994,103.350,-30.995,441,3.149,17,0.5,S230518h,6485,3.149
556,101.379,-22.979,102.458,-21.975,102.474,-23.975,100.285,-23.975,100.301,-21.975,481,3.058,18,0.5,S230518h,556,3.058
215,104.379,-26.809,105.489,-25.804,105.509,-27.804,103.248,-27.804,103.268,-25.804,484,3.058,19,0.5,S230518h,215,3.058
730,100.227,-21.064,101.292,-20.060,101.306,-22.060,99.148,-22.060,99.163,-20.060,277,3.037,20,0.5,S230518h,730,3.037
1264,96.923,-15.319,97.955,-14.317,97.965,-16.317,95.881,-16.317,95.891,-14.317,378,3.023,21,0.5,S230518h,1264,3.023
2932,86.170,1.915,87.171,2.915,87.170,0.915,85.170,0.915,85.169,2.915,47,2.918,22,0.5,S230518h,2932,2.918
383,100.465,-24.894,101.559,-23.890,101.577,-25.890,99.354,-25.890,99.372,-23.890,430,2.879,23,0.5,S230518h,383,2.879
6486,106.839,-32.000,108.005,-30.995,108.031,-32.994,105.647,-32.994,105.672,-30.995,581,2.869,24,0.5,S230518h,6486,2.869
7734,111.933,-50.000,113.457,-48.990,113.521,-50.989,110.344,-50.989,110.409,-48.990,346,2.832,25,0.5,S230518h,7734,2.832
8175,116.364,-58.000,118.199,-56.986,118.304,-58.986,114.423,-58.986,114.528,-56.986,317,2.780,26,0.5,S230518h,8175,2.780
1446,96.393,-13.404,97.417,-12.402,97.426,-14.402,95.361,-14.402,95.370,-12.402,71,2.774,27,0.5,S230518h,1446,2.774
48,104.096,-28.723,105.226,-27.719,105.248,-29.719,102.945,-29.719,102.967,-27.719,398,2.762,28,0.5,S230518h,48,2.762
6273,72.000,-88.000,90.441,-86.838,117.004,-88.586,26.996,-88.586,53.559,-86.838,453,2.753,29,0.5,S230518h,6273,2.753
729,98.182,-21.064,99.246,-20.060,99.261,-22.060,97.103,-22.060,97.117,-20.060,347,2.736,30,0.5,S230518h,729,2.736
906,99.101,-19.149,100.153,-18.146,100.166,-20.146,98.036,-20.146,98.049,-18.146,154,2.716,31,0.5,S230518h,906,2.716
3304,80.856,5.745,81.862,6.744,81.859,4.744,79.852,4.744,79.849,6.744,179,2.707,32,0.5,S230518h,3304,2.707
6639,104.901,-34.000,106.093,-32.994,106.121,-34.994,103.680,-34.994,103.709,-32.994,361,2.675,33,0.5,S230518h,6639,2.675
5925,116.308,-70.000,119.096,-68.977,119.376,-70.975,113.239,-70.975,113.520,-68.977,313,2.545,34,0.5,S230518h,5925,2.545
6253,327.273,-84.000,335.422,-82.929,338.596,-84.901,315.949,-84.901,319.123,-82.929,199,2.494,35,0.5,S230518h,6253,2.494
8272,116.129,-60.000,118.070,-58.985,118.191,-60.984,114.067,-60.984,114.188,-58.985,312,2.453,36,0.5,S230518h,8272,2.453
6640,107.285,-34.000,108.477,-32.994,108.505,-34.994,106.064,-34.994,106.093,-32.994,566,2.440,37,0.5,S230518h,6640,2.440
6240,114.545,-84.000,122.695,-82.929,125.869,-84.901,103.222,-84.901,106.396,-82.929,244,2.337,38,0.5,S230518h,6240,2.337
6791,109.459,-36.000,110.680,-34.994,110.711,-36.994,108.208,-36.994,108.239,-34.994,306,2.311,39,0.5,S230518h,6791,2.311
6328,104.810,-30.000,105.953,-28.995,105.977,-30.995,103.644,-30.995,103.667,-28.995,439,2.277,40,0.5,S230518h,6328,2.277
1084,98.000,-17.234,99.041,-16.231,99.053,-18.231,96.947,-18.231,96.959,-16.231,293,2.246,41,0.5,S230518h,1084,2.246
6213,111.724,-82.000,118.090,-80.945,119.874,-82.929,103.574,-82.929,105.358,-80.945,198,2.239,42,0.5,S230518h,6213,2.239
1814,94.839,-9.574,95.850,-8.573,95.856,-10.573,93.822,-10.573,93.828,-8.573,47,2.210,43,0.5,S230518h,1814,2.210
8271,112.258,-60.000,114.199,-58.985,114.320,-60.984,110.196,-60.984,110.317,-58.985,236,2.206,44,0.5,S230518h,8271,2.206
6259,90.000,-86.000,101.323,-84.901,108.443,-86.838,71.557,-86.838,78.677,-84.901,219,2.205,45,0.5,S230518h,6259,2.205
6229,310.345,-82.000,316.711,-80.945,318.495,-82.929,302.195,-82.929,303.979,-80.945,108,2.187,46,0.5,S230518h,6229,2.187
1815,96.774,-9.574,97.785,-8.573,97.791,-10.573,95.757,-10.573,95.763,-8.573,38,2.180,47,0.5,S230518h,1815,2.180
