#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
160,102.857,-25.714,104.331,-24.364,104.364,-27.049,101.350,-27.049,101.384,-24.364,886,8.776,0,0.5,S230518h,160,8.776
415,98.931,-20.571,100.353,-19.223,100.378,-21.908,97.485,-21.908,97.510,-19.223,507,6.247,1,0.5,S230518h,415,6.247
1775,83.478,5.143,84.829,6.484,84.823,3.799,82.133,3.799,82.127,6.484,155,5.047,2,0.5,S230518h,1775,5.047
36,104.516,-28.286,106.022,-26.935,106.060,-29.620,102.972,-29.620,103.011,-26.935,820,5.009,3,0.5,S230518h,36,5.009
679,96.716,-15.429,98.100,-14.082,98.118,-16.767,95.315,-16.767,95.333,-14.082,600,4.899,4,0.5,S230518h,679,4.899
1912,80.870,7.714,82.229,9.055,82.220,6.370,79.519,6.370,79.510,9.055,191,4.869,5,0.5,S230518h,1912,4.869
813,95.294,-12.857,96.664,-11.511,96.679,-14.196,93.910,-14.196,93.924,-11.511,92,4.719,6,0.5,S230518h,813,4.719
949,94.599,-10.286,95.957,-8.940,95.969,-11.625,93.228,-11.625,93.240,-8.940,91,4.689,7,0.5,S230518h,949,4.689
286,100.465,-23.143,101.911,-21.794,101.940,-24.479,98.990,-24.479,99.020,-21.794,727,4.176,8,0.5,S230518h,286,4.176
35,101.613,-28.286,103.118,-26.935,103.157,-29.620,100.069,-29.620,100.107,-26.935,682,4.049,9,0.5,S230518h,35,4.049
547,100.150,-18.000,101.551,-16.652,101.573,-19.337,98.728,-19.337,98.749,-16.652,112,4.017,10,0.5,S230518h,547,4.017
1637,85.468,2.571,86.813,3.913,86.810,1.228,84.125,1.228,84.122,3.913,101,3.752,11,0.5,S230518h,1637,3.752
416,101.679,-20.571,103.101,-19.223,103.126,-21.908,100.233,-21.908,100.258,-19.223,197,3.721,12,0.5,S230518h,416,3.721
287,103.256,-23.143,104.701,-21.794,104.731,-24.479,101.781,-24.479,101.810,-21.794,579,3.645,13,0.5,S230518h,287,3.645
546,97.444,-18.000,98.845,-16.652,98.866,-19.337,96.021,-19.337,96.043,-16.652,548,3.454,14,0.5,S230518h,546,3.454
1498,85.468,0.000,86.810,1.343,86.810,-1.343,84.125,-1.343,84.125,1.343,97,3.128,15,0.9,S230518h,1498,3.128
159,100.000,-25.714,101.473,-24.364,101.507,-27.049,98.493,-27.049,98.527,-24.364,586,3.099,16,0.9,S230518h,159,3.099
1086,93.913,-7.714,95.264,-6.370,95.272,-9.055,92.554,-9.055,92.563,-6.370,76,3.082,17,0.9,S230518h,1086,3.082
1774,80.870,5.143,82.220,6.484,82.215,3.799,79.524,3.799,79.519,6.484,319,2.828,18,0.9,S230518h,1774,2.828
950,97.226,-10.286,98.585,-8.940,98.597,-11.625,95.856,-11.625,95.868,-8.940,60,2.786,19,0.9,S230518h,950,2.786
2049,78.832,10.286,80.202,11.625,80.191,8.940,77.473,8.940,77.462,11.625,109,2.701,20,0.9,S230518h,2049,2.701
