name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1299785,91.110,-4.793,261.066,1.484727495841489e-06,2.0,0.09149179559031129,0,0.5,S230518h,1299785,1.484727495841489e-06
1300564,88.518,-1.175,240.439,1.4626246048862909e-06,1.0,0.045060869994564205,1,0.5,S230518h,1300564,1.4626246048862909e-06
1299772,90.872,-5.050,261.071,1.459643667524404e-06,2.0,0.08994594759513913,2,0.5,S230518h,1299772,1.459643667524404e-06
1299771,90.891,-3.977,247.221,1.4480214599269572e-06,1.1,0.04907277483972201,3,0.5,S230518h,1299771,1.4480214599269572e-06
1304360,87.980,-0.436,251.506,1.4423274514843121e-06,0.9,0.039991105311818494,4,0.5,S230518h,1304360,1.4423274514843121e-06
1300569,88.612,-0.835,258.665,1.4377660976122866e-06,2.0,0.08859769256961537,5,0.5,S230518h,1300569,1.4377660976122866e-06
1205278,87.721,-0.275,215.769,1.42914355701425e-06,3.0,0.1321034206554585,6,0.5,S230518h,1205278,1.42914355701425e-06
48434,87.604,0.097,237.699,1.4261510414007012e-06,3.0,0.1318267897797854,7,0.5,S230518h,48434,1.4261510414007012e-06
1301650,92.473,-7.390,258.737,1.4224903343222554e-06,3.0,0.13148839067499604,8,0.5,S230518h,1301650,1.4224903343222554e-06
106950,87.681,0.466,259.428,1.414662454179238e-06,1.0,0.043582981659948575,9,0.5,S230518h,106950,1.414662454179238e-06
1300588,89.697,-3.875,218.289,1.401810883163976e-06,1.0,0.04318697800696503,10,0.5,S230518h,1300588,1.401810883163976e-06
1301670,93.353,-8.136,215.445,1.39726873050006e-06,2.0,0.086101950174602,11,0.5,S230518h,1301670,1.39726873050006e-06
1299770,90.924,-3.572,282.329,1.3907926855984437e-06,6.0,0.2571243768236938,12,0.5,S230518h,1299770,1.3907926855984437e-06
1301680,93.502,-8.834,217.539,1.3784941233302787e-06,2.0,0.08494492228848051,13,0.5,S230518h,1301680,1.3784941233302787e-06
51097,86.876,1.303,247.418,1.3771718339999539e-06,1.0,0.042427759273052534,14,0.5,S230518h,51097,1.3771718339999539e-06
107258,86.921,1.369,255.873,1.3771718339999539e-06,0.4,0.016966354917007462,15,0.5,S230518h,107258,1.3771718339999539e-06
106919,87.707,0.562,219.850,1.3760305190904975e-06,1.0,0.04239259120894484,16,0.5,S230518h,106919,1.3760305190904975e-06
1334830,88.727,-0.641,220.287,1.3729603890814662e-06,2.0,0.08460389332407335,17,0.5,S230518h,1334830,1.3729603890814662e-06
1208582,88.727,-0.641,222.416,1.3729603890814662e-06,3.0,0.12690979731295465,18,0.5,S230518h,1208582,1.3729603890814662e-06
1299783,91.070,-3.598,248.174,1.3644581812874492e-06,1.3,0.05464918139619165,19,0.5,S230518h,1299783,1.3644581812874492e-06
1301672,93.429,-7.852,252.661,1.3473831032483342e-06,4.0,0.16606318442703646,20,0.5,S230518h,1301672,1.3473831032483342e-06
1265261,90.777,-3.148,278.331,1.3439519059254645e-06,4.0,0.1656402737424672,21,0.5,S230518h,1265261,1.3439519059254645e-06
1039462,87.205,1.454,250.558,1.3425081192193417e-06,9.0,0.3723001143535141,22,0.5,S230518h,1039462,1.3425081192193417e-06
48415,87.171,1.241,232.458,1.3425081192193417e-06,2.0,0.08272720290346705,23,0.5,S230518h,48415,1.3425081192193417e-06
1301678,93.598,-8.067,274.491,1.3384533136569881e-06,4.0,0.16496254722265175,24,0.5,S230518h,1301678,1.3384533136569881e-06
1303305,93.979,-8.817,232.717,1.3340280618356983e-06,2.0,0.08220460007188407,25,0.5,S230518h,1303305,1.3340280618356983e-06
1295920,93.707,-9.521,274.067,1.329865698190126e-06,3.0,0.12292608473877194,26,0.5,S230518h,1295920,1.329865698190126e-06
1301663,93.164,-8.916,270.540,1.329126326411732e-06,4.0,0.16381295359987488,27,0.5,S230518h,1301663,1.329126326411732e-06
48424,87.388,1.066,222.808,1.3289639707529226e-06,0.8,0.03275225678226588,28,0.5,S230518h,48424,1.3289639707529226e-06
1322342,91.865,-7.043,262.675,1.3184435412096057e-06,12.0,0.48750458443442185,29,0.5,S230518h,1322342,1.3184435412096057e-06
1322343,91.839,-6.997,277.718,1.3184435412096057e-06,7.0,0.28437437648104225,30,0.5,S230518h,1322343,1.3184435412096057e-06
1299778,90.997,-3.299,220.903,1.3149904133154276e-06,2.0,0.0810313616640208,31,0.5,S230518h,1299778,1.3149904133154276e-06
1299776,90.946,-3.309,265.468,1.3149904133154276e-06,2.0,0.0810313616640208,32,0.5,S230518h,1299776,1.3149904133154276e-06
1300571,88.589,-0.101,257.043,1.3131378372718183e-06,1.0,0.04045463889816887,33,0.5,S230518h,1300571,1.3131378372718183e-06
51062,85.764,2.544,216.414,1.310825892966679e-06,2.0,0.08077471362168104,34,0.5,S230518h,51062,1.310825892966679e-06
1303319,94.364,-9.663,258.728,1.3074054168340976e-06,5.0,0.20142166947339055,35,0.5,S230518h,1303319,1.3074054168340976e-06
51075,85.986,1.847,255.341,1.3037092102922095e-06,2.0,0.0803361318587405,36,0.5,S230518h,51075,1.3037092102922095e-06
51059,85.594,2.702,259.515,1.2978204256443947e-06,1.2,0.04798076740189738,37,0.5,S230518h,51059,1.2978204256443947e-06
51088,86.404,2.307,223.901,1.295278779020127e-06,1.0,0.03990433634775563,38,0.5,S230518h,51088,1.295278779020127e-06
1301677,93.505,-7.615,273.638,1.2925587696769114e-06,2.0,0.07964896058438185,39,0.5,S230518h,1301677,1.2925587696769114e-06
1301674,93.384,-7.665,282.363,1.2925587696769114e-06,1.2,0.04778621048915341,40,0.5,S230518h,1301674,1.2925587696769114e-06
1310450,94.668,-10.262,231.675,1.2903866623986697e-06,1.0,0.03975359243865549,41,0.5,S230518h,1310450,1.2903866623986697e-06
1301642,92.117,-7.578,258.454,1.289828994245173e-06,0.9,0.035761976323432317,42,0.5,S230518h,1301642,1.289828994245173e-06
106891,86.184,1.319,241.027,1.2863208374864012e-06,0.3,0.011882952617289545,43,0.5,S230518h,106891,1.2863208374864012e-06
